production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260308_001,2026-03-08,PLANT_EU_01,PROD_GLASS_C3,3119,MACHINE_LINE_05,829.3,2795.84,9
prod_20260308_002,2026-03-08,PLANT_APAC_01,PROD_GLASS_A1,6842,MACHINE_LINE_06,836.8,6106.46,6
prod_20260308_003,2026-03-08,PLANT_APAC_01,PROD_GLASS_C3,4130,MACHINE_LINE_05,833.7,3760.43,19
prod_20260308_004,2026-03-08,PLANT_APAC_01,PROD_GLASS_C3,3809,MACHINE_LINE_01,856.0,3492.76,15
prod_20260308_005,2026-03-08,PLANT_APAC_01,PROD_GLASS_C3,4962,MACHINE_LINE_06,851.6,4512.65,27
prod_20260308_006,2026-03-08,PLANT_EU_01,PROD_GLASS_B2,6934,MACHINE_LINE_03,851.5,6132.02,8
prod_20260308_007,2026-03-08,PLANT_EU_01,PROD_GLASS_A1,6453,MACHINE_LINE_06,842.0,5856.67,25
prod_20260308_008,2026-03-08,PLANT_APAC_01,PROD_GLASS_A1,4911,MACHINE_LINE_06,850.2,4249.66,19
prod_20260308_009,2026-03-08,PLANT_EU_01,PROD_GLASS_A1,6005,MACHINE_LINE_07,849.6,5231.54,9
prod_20260308_010,2026-03-08,PLANT_US_01,PROD_GLASS_B2,3644,MACHINE_LINE_04,854.1,2808.12,17
prod_20260308_011,2026-03-08,PLANT_EU_01,PROD_GLASS_C3,2888,MACHINE_LINE_05,841.1,2405.22,72
prod_20260308_012,2026-03-08,PLANT_EU_01,PROD_GLASS_B2,5583,MACHINE_LINE_04,825.3,4943.22,20
