shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260325_001,PO_2026_03_001,PROD_GLASS_B2,640,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_PACKAGING_01,2026-03-22,2026-04-09,,0,IN_TRANSIT
ship_20260325_002,PO_2026_03_002,PROD_GLASS_C3,1064,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_LOGISTICS_01,2026-03-19,2026-03-31,,0,IN_TRANSIT
ship_20260325_003,PO_2026_03_003,PROD_GLASS_C3,2451,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_METAL_FRAME_01,2026-03-19,2026-04-18,2026-04-18,0,DELIVERED
ship_20260325_004,PO_2026_03_004,PROD_GLASS_B2,2037,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_METAL_FRAME_01,2026-03-25,2026-04-04,,0,PENDING
ship_20260325_005,PO_2026_03_005,PROD_GLASS_C3,1851,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_LOGISTICS_03,2026-03-25,2026-04-14,,0,PENDING
ship_20260325_006,PO_2026_03_006,PROD_GLASS_B2,1741,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_METAL_FRAME_01,2026-03-17,2026-04-03,2026-04-03,0,DELIVERED
ship_20260325_007,PO_2026_03_007,PROD_GLASS_A1,1653,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_GLASS_RAW_02,2026-03-20,2026-04-03,2026-04-03,0,DELIVERED
ship_20260325_008,PO_2026_03_008,PROD_GLASS_B2,1032,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_METAL_FRAME_01,2026-03-20,2026-04-05,2026-04-05,0,DELIVERED
ship_20260325_009,PO_2026_03_009,PROD_GLASS_C3,1819,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_LOGISTICS_03,2026-03-25,2026-04-03,,0,PENDING
ship_20260325_010,PO_2026_03_010,PROD_GLASS_A1,1919,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_LOGISTICS_02,2026-03-22,2026-04-01,2026-04-01,0,DELIVERED
