production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260307_001,2026-03-07,PLANT_US_01,PROD_GLASS_B2,6443,MACHINE_LINE_02,842.2,5613.2,5
prod_20260307_002,2026-03-07,PLANT_EU_01,PROD_GLASS_A1,4623,MACHINE_LINE_07,843.0,4553.73,21
prod_20260307_003,2026-03-07,PLANT_EU_01,PROD_GLASS_C3,5719,MACHINE_LINE_05,863.6,5167.92,15
prod_20260307_004,2026-03-07,PLANT_APAC_01,PROD_GLASS_A1,4012,MACHINE_LINE_01,852.1,3813.42,87
prod_20260307_005,2026-03-07,PLANT_APAC_01,PROD_GLASS_A1,3416,MACHINE_LINE_01,826.0,3303.43,20
prod_20260307_006,2026-03-07,PLANT_US_01,PROD_GLASS_A1,4641,MACHINE_LINE_04,845.5,4353.33,28
prod_20260307_007,2026-03-07,PLANT_EU_01,PROD_GLASS_B2,4696,MACHINE_LINE_05,828.9,4282.18,0
prod_20260307_008,2026-03-07,PLANT_US_01,PROD_GLASS_A1,6543,MACHINE_LINE_03,818.5,5942.56,25
prod_20260307_009,2026-03-07,PLANT_EU_01,PROD_GLASS_A1,4963,MACHINE_LINE_07,862.9,4621.01,19
prod_20260307_010,2026-03-07,PLANT_APAC_01,PROD_GLASS_C3,6337,MACHINE_LINE_01,875.6,5966.57,6
prod_20260307_011,2026-03-07,PLANT_EU_01,PROD_GLASS_C3,6200,MACHINE_LINE_04,876.5,5703.51,0
prod_20260307_012,2026-03-07,PLANT_APAC_01,PROD_GLASS_C3,5079,MACHINE_LINE_06,837.1,4626.42,2
