production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260322_001,2026-03-22,PLANT_APAC_01,PROD_GLASS_A1,6562,MACHINE_LINE_01,827.5,5892.38,12
prod_20260322_002,2026-03-22,PLANT_US_01,PROD_GLASS_C3,6415,MACHINE_LINE_03,836.1,5877.35,22
prod_20260322_003,2026-03-22,PLANT_US_01,PROD_GLASS_A1,6862,MACHINE_LINE_04,849.5,6017.9,28
prod_20260322_004,2026-03-22,PLANT_EU_01,PROD_GLASS_A1,6163,MACHINE_LINE_05,848.0,5432.69,28
prod_20260322_005,2026-03-22,PLANT_US_01,PROD_GLASS_A1,3364,MACHINE_LINE_05,856.0,2809.96,31
prod_20260322_006,2026-03-22,PLANT_US_01,PROD_GLASS_B2,3301,MACHINE_LINE_05,849.2,3012.54,9
prod_20260322_007,2026-03-22,PLANT_EU_01,PROD_GLASS_B2,3679,MACHINE_LINE_04,860.5,2886.32,18
prod_20260322_008,2026-03-22,PLANT_US_01,PROD_GLASS_C3,6415,MACHINE_LINE_05,862.3,5685.26,26
prod_20260322_009,2026-03-22,PLANT_APAC_01,PROD_GLASS_B2,4753,MACHINE_LINE_01,862.1,4405.58,22
prod_20260322_010,2026-03-22,PLANT_EU_01,PROD_GLASS_B2,3896,MACHINE_LINE_03,866.1,3429.79,22
prod_20260322_011,2026-03-22,PLANT_APAC_01,PROD_GLASS_A1,3360,MACHINE_LINE_01,850.1,3000.98,3
prod_20260322_012,2026-03-22,PLANT_APAC_01,PROD_GLASS_C3,4046,MACHINE_LINE_05,839.8,3679.48,15
