production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260317_001,2026-03-17,PLANT_US_01,PROD_GLASS_C3,4381,MACHINE_LINE_04,823.2,3898.5,5
prod_20260317_002,2026-03-17,PLANT_APAC_01,PROD_GLASS_B2,2315,MACHINE_LINE_06,875.9,2430.49,107
prod_20260317_003,2026-03-17,PLANT_APAC_01,PROD_GLASS_A1,3799,MACHINE_LINE_02,873.2,3482.25,9
prod_20260317_004,2026-03-17,PLANT_US_01,PROD_GLASS_B2,4349,MACHINE_LINE_02,830.4,4363.72,19
prod_20260317_005,2026-03-17,PLANT_EU_01,PROD_GLASS_C3,4053,MACHINE_LINE_02,841.8,3403.2,0
prod_20260317_006,2026-03-17,PLANT_EU_01,PROD_GLASS_C3,2104,MACHINE_LINE_04,852.1,2098.38,72
prod_20260317_007,2026-03-17,PLANT_EU_01,PROD_GLASS_B2,3998,MACHINE_LINE_06,852.9,3848.63,10
prod_20260317_008,2026-03-17,PLANT_EU_01,PROD_GLASS_A1,5449,MACHINE_LINE_05,874.6,4795.4,25
prod_20260317_009,2026-03-17,PLANT_APAC_01,PROD_GLASS_A1,3287,MACHINE_LINE_06,853.9,3079.1,31
prod_20260317_010,2026-03-17,PLANT_US_01,PROD_GLASS_A1,6696,MACHINE_LINE_05,859.9,5656.93,20
prod_20260317_011,2026-03-17,PLANT_US_01,PROD_GLASS_B2,4124,MACHINE_LINE_07,872.3,3567.26,26
prod_20260317_012,2026-03-17,PLANT_APAC_01,PROD_GLASS_C3,5367,MACHINE_LINE_05,812.8,4921.86,29
