quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260205_001,2026-02-05,PROD_GLASS_B2,BATCH_2026_02_05_001,25,CRACK,0.59
qual_20260205_002,2026-02-05,PROD_GLASS_B2,BATCH_2026_02_05_002,15,CRACK,0.18
qual_20260205_003,2026-02-05,PROD_GLASS_A1,BATCH_2026_02_05_003,63,BUBBLE,1.47
qual_20260205_004,2026-02-05,PROD_GLASS_B2,BATCH_2026_02_05_004,112,DIMENSION_OFF,1.15
qual_20260205_005,2026-02-05,PROD_GLASS_C3,BATCH_2026_02_05_005,6,SURFACE_SCRATCH,0.15
qual_20260205_006,2026-02-05,PROD_GLASS_B2,BATCH_2026_02_05_006,296,OTHER,4.93
qual_20260205_007,2026-02-05,PROD_GLASS_C3,BATCH_2026_02_05_007,43,DISCOLORATION,0.53
qual_20260205_008,2026-02-05,PROD_GLASS_C3,BATCH_2026_02_05_008,116,SURFACE_SCRATCH,1.4
qual_20260205_009,2026-02-05,PROD_GLASS_B2,BATCH_2026_02_05_009,90,SURFACE_SCRATCH,1.2
qual_20260205_010,2026-02-05,PROD_GLASS_C3,BATCH_2026_02_05_010,132,OTHER,1.39
qual_20260205_011,2026-02-05,PROD_GLASS_B2,BATCH_2026_02_05_011,29,DIMENSION_OFF,0.56
qual_20260205_012,2026-02-05,PROD_GLASS_C3,BATCH_2026_02_05_012,91,OTHER,1.02
