supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Raw Materials,2026-01-30,2026-01-30,0,86.7
SUP_GLASS_RAW_02,Supplier_02,Packaging,2026-01-30,2026-01-30,0,90.0
SUP_METAL_FRAME_01,Supplier_01,Components,2026-01-31,2026-01-31,0,89.7
SUP_METAL_FRAME_02,Supplier_02,Raw Materials,2026-01-31,2026-01-31,0,87.4
SUP_ADHESIVE_01,Supplier_01,Components,2026-02-01,2026-02-01,0,90.4
SUP_ADHESIVE_02,Supplier_02,Packaging,2026-01-30,2026-01-30,0,89.5
SUP_LOGISTICS_01,Supplier_01,Packaging,2026-02-01,2026-02-01,0,90.0
SUP_LOGISTICS_02,Supplier_02,Logistics,2026-01-31,2026-01-31,0,91.4
SUP_LOGISTICS_03,Supplier_03,Components,2026-02-01,2026-02-01,0,94.5
SUP_PACKAGING_01,Supplier_01,Packaging,2026-02-02,2026-01-31,2,88.0
SUP_PACKAGING_02,Supplier_02,Packaging,2026-01-30,2026-01-30,0,83.6
