supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Components,2026-02-17,2026-02-17,0,96.7
SUP_GLASS_RAW_02,Supplier_02,Packaging,2026-02-21,2026-02-21,0,93.8
SUP_METAL_FRAME_01,Supplier_01,Raw Materials,2026-02-19,2026-02-18,1,93.6
SUP_METAL_FRAME_02,Supplier_02,Packaging,2026-02-20,2026-02-20,0,90.5
SUP_ADHESIVE_01,Supplier_01,Logistics,2026-02-18,2026-02-18,0,90.7
SUP_ADHESIVE_02,Supplier_02,Components,2026-02-19,2026-02-18,1,91.3
SUP_LOGISTICS_01,Supplier_01,Raw Materials,2026-02-18,2026-02-18,0,88.4
SUP_LOGISTICS_02,Supplier_02,Logistics,2026-02-17,2026-02-17,0,82.6
SUP_LOGISTICS_03,Supplier_03,Packaging,2026-02-18,2026-02-18,0,90.3
SUP_PACKAGING_01,Supplier_01,Components,2026-02-21,2026-02-21,0,89.3
SUP_PACKAGING_02,Supplier_02,Components,2026-02-17,2026-02-17,0,88.2
