supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Components,2026-02-28,2026-02-28,0,89.2
SUP_GLASS_RAW_02,Supplier_02,Logistics,2026-02-27,2026-02-27,0,90.5
SUP_METAL_FRAME_01,Supplier_01,Packaging,2026-03-02,2026-03-02,0,95.3
SUP_METAL_FRAME_02,Supplier_02,Logistics,2026-02-27,2026-02-27,0,89.0
SUP_ADHESIVE_01,Supplier_01,Logistics,2026-02-28,2026-02-28,0,93.2
SUP_ADHESIVE_02,Supplier_02,Packaging,2026-03-02,2026-03-02,0,89.1
SUP_LOGISTICS_01,Supplier_01,Raw Materials,2026-03-02,2026-03-02,0,94.1
SUP_LOGISTICS_02,Supplier_02,Packaging,2026-03-01,2026-03-01,0,94.7
SUP_LOGISTICS_03,Supplier_03,Logistics,2026-02-26,2026-02-26,0,91.0
SUP_PACKAGING_01,Supplier_01,Logistics,2026-03-02,2026-03-02,0,91.4
SUP_PACKAGING_02,Supplier_02,Components,2026-02-27,2026-02-27,0,92.0
