supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Logistics,2026-02-09,2026-02-09,0,91.5
SUP_GLASS_RAW_02,Supplier_02,Components,2026-02-09,2026-02-09,0,92.3
SUP_METAL_FRAME_01,Supplier_01,Components,2026-02-09,2026-02-09,0,89.0
SUP_METAL_FRAME_02,Supplier_02,Packaging,2026-02-11,2026-02-11,0,94.8
SUP_ADHESIVE_01,Supplier_01,Components,2026-02-12,2026-02-12,0,93.5
SUP_ADHESIVE_02,Supplier_02,Raw Materials,2026-02-11,2026-02-11,0,86.4
SUP_LOGISTICS_01,Supplier_01,Logistics,2026-02-13,2026-02-13,0,88.7
SUP_LOGISTICS_02,Supplier_02,Packaging,2026-02-12,2026-02-12,0,86.4
SUP_LOGISTICS_03,Supplier_03,Raw Materials,2026-02-13,2026-02-13,0,92.7
SUP_PACKAGING_01,Supplier_01,Components,2026-02-13,2026-02-13,0,83.8
SUP_PACKAGING_02,Supplier_02,Logistics,2026-02-12,2026-02-12,0,86.8
