shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260328_001,PO_2026_03_001,PROD_GLASS_B2,1976,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_ADHESIVE_02,2026-03-28,2026-04-17,,0,PENDING
ship_20260328_002,PO_2026_03_002,PROD_GLASS_B2,1901,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_METAL_FRAME_02,2026-03-22,2026-04-06,2026-04-06,0,DELIVERED
ship_20260328_003,PO_2026_03_003,PROD_GLASS_B2,871,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_LOGISTICS_02,2026-03-25,2026-04-12,2026-04-13,1,DELIVERED
ship_20260328_004,PO_2026_03_004,PROD_GLASS_C3,766,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_PACKAGING_02,2026-03-21,2026-04-19,2026-04-19,0,DELIVERED
ship_20260328_005,PO_2026_03_005,PROD_GLASS_A1,1915,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_01,2026-03-25,2026-04-06,2026-04-06,0,DELIVERED
ship_20260328_006,PO_2026_03_006,PROD_GLASS_B2,1045,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_GLASS_RAW_02,2026-03-25,2026-04-04,2026-04-04,0,DELIVERED
ship_20260328_007,PO_2026_03_007,PROD_GLASS_C3,2479,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_LOGISTICS_02,2026-03-28,2026-04-05,,0,PENDING
ship_20260328_008,PO_2026_03_008,PROD_GLASS_C3,1048,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_GLASS_RAW_02,2026-03-28,2026-04-03,,0,PENDING
ship_20260328_009,PO_2026_03_009,PROD_GLASS_A1,830,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_METAL_FRAME_02,2026-03-19,2026-04-19,2026-04-19,0,DELIVERED
ship_20260328_010,PO_2026_03_010,PROD_GLASS_B2,2389,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_METAL_FRAME_01,2026-03-24,2026-04-19,2026-04-19,0,DELIVERED
