shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260402_001,PO_2026_04_001,PROD_GLASS_B2,1390,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_02,2026-03-27,2026-04-07,2026-04-07,0,DELIVERED
ship_20260402_002,PO_2026_04_002,PROD_GLASS_C3,1511,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_LOGISTICS_01,2026-04-02,2026-04-18,,0,PENDING
ship_20260402_003,PO_2026_04_003,PROD_GLASS_C3,1318,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_PACKAGING_02,2026-03-24,2026-04-19,2026-04-19,0,DELIVERED
ship_20260402_004,PO_2026_04_004,PROD_GLASS_B2,1040,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_PACKAGING_02,2026-04-02,2026-04-26,,0,PENDING
ship_20260402_005,PO_2026_04_005,PROD_GLASS_A1,1173,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_02,2026-04-02,2026-04-07,,0,PENDING
ship_20260402_006,PO_2026_04_006,PROD_GLASS_A1,831,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_01,2026-04-02,2026-04-11,,0,PENDING
ship_20260402_007,PO_2026_04_007,PROD_GLASS_C3,1857,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_METAL_FRAME_01,2026-03-31,2026-04-23,2026-04-26,3,DELIVERED
ship_20260402_008,PO_2026_04_008,PROD_GLASS_A1,1266,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_PACKAGING_01,2026-04-02,2026-04-11,,0,PENDING
ship_20260402_009,PO_2026_04_009,PROD_GLASS_A1,2194,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_GLASS_RAW_01,2026-04-01,2026-04-12,2026-04-12,0,DELIVERED
ship_20260402_010,PO_2026_04_010,PROD_GLASS_A1,2002,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_METAL_FRAME_01,2026-03-25,2026-04-14,,0,IN_TRANSIT
