shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260324_001,PO_2026_03_001,PROD_GLASS_A1,961,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_ADHESIVE_01,2026-03-23,2026-04-02,2026-04-02,0,DELIVERED
ship_20260324_002,PO_2026_03_002,PROD_GLASS_A1,2059,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_GLASS_RAW_01,2026-03-24,2026-04-15,,0,PENDING
ship_20260324_003,PO_2026_03_003,PROD_GLASS_A1,2171,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_ADHESIVE_02,2026-03-18,2026-04-16,,0,IN_TRANSIT
ship_20260324_004,PO_2026_03_004,PROD_GLASS_B2,2052,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_03,2026-03-23,2026-03-31,2026-03-31,0,DELIVERED
ship_20260324_005,PO_2026_03_005,PROD_GLASS_C3,552,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_PACKAGING_02,2026-03-24,2026-04-01,,0,PENDING
ship_20260324_006,PO_2026_03_006,PROD_GLASS_B2,2349,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_ADHESIVE_02,2026-03-23,2026-04-01,2026-04-04,3,DELIVERED
ship_20260324_007,PO_2026_03_007,PROD_GLASS_A1,1356,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_LOGISTICS_03,2026-03-24,2026-04-15,,0,PENDING
ship_20260324_008,PO_2026_03_008,PROD_GLASS_B2,526,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_ADHESIVE_02,2026-03-19,2026-03-30,,0,IN_TRANSIT
ship_20260324_009,PO_2026_03_009,PROD_GLASS_C3,1552,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_03,2026-03-21,2026-04-02,2026-04-02,0,DELIVERED
ship_20260324_010,PO_2026_03_010,PROD_GLASS_B2,1571,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_LOGISTICS_03,2026-03-24,2026-04-17,,0,PENDING
