shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260316_001,PO_2026_03_001,PROD_GLASS_C3,1800,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_PACKAGING_02,2026-03-11,2026-03-25,,0,IN_TRANSIT
ship_20260316_002,PO_2026_03_002,PROD_GLASS_A1,2158,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_02,2026-03-16,2026-03-25,,0,PENDING
ship_20260316_003,PO_2026_03_003,PROD_GLASS_C3,630,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_01,2026-03-16,2026-03-25,,0,PENDING
ship_20260316_004,PO_2026_03_004,PROD_GLASS_A1,621,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_LOGISTICS_01,2026-03-09,2026-03-21,,0,IN_TRANSIT
ship_20260316_005,PO_2026_03_005,PROD_GLASS_C3,1960,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_LOGISTICS_03,2026-03-08,2026-04-06,2026-04-06,0,DELIVERED
ship_20260316_006,PO_2026_03_006,PROD_GLASS_B2,2441,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_METAL_FRAME_02,2026-03-15,2026-03-30,2026-04-02,3,DELIVERED
ship_20260316_007,PO_2026_03_007,PROD_GLASS_C3,1846,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_METAL_FRAME_02,2026-03-16,2026-03-30,,0,PENDING
ship_20260316_008,PO_2026_03_008,PROD_GLASS_B2,1955,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_01,2026-03-07,2026-03-25,2026-03-29,4,DELIVERED
ship_20260316_009,PO_2026_03_009,PROD_GLASS_B2,1251,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_LOGISTICS_03,2026-03-16,2026-03-22,,0,PENDING
ship_20260316_010,PO_2026_03_010,PROD_GLASS_B2,578,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_01,2026-03-15,2026-03-23,2026-03-23,0,DELIVERED
