production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260217_001,2026-02-17,PLANT_US_01,PROD_GLASS_B2,4096,MACHINE_LINE_01,845.8,3631.9,13
prod_20260217_002,2026-02-17,PLANT_APAC_01,PROD_GLASS_C3,4818,MACHINE_LINE_07,853.8,4430.78,3
prod_20260217_003,2026-02-17,PLANT_US_01,PROD_GLASS_C3,3358,MACHINE_LINE_05,844.2,2775.66,13
prod_20260217_004,2026-02-17,PLANT_APAC_01,PROD_GLASS_B2,3634,MACHINE_LINE_04,871.0,3323.22,29
prod_20260217_005,2026-02-17,PLANT_EU_01,PROD_GLASS_C3,2481,MACHINE_LINE_01,850.1,2155.56,49
prod_20260217_006,2026-02-17,PLANT_US_01,PROD_GLASS_C3,3914,MACHINE_LINE_04,853.8,3518.52,10
prod_20260217_007,2026-02-17,PLANT_EU_01,PROD_GLASS_C3,6869,MACHINE_LINE_06,836.0,6407.66,2
prod_20260217_008,2026-02-17,PLANT_EU_01,PROD_GLASS_A1,3692,MACHINE_LINE_07,861.5,3212.05,4
prod_20260217_009,2026-02-17,PLANT_US_01,PROD_GLASS_A1,5675,MACHINE_LINE_03,852.2,5381.85,11
prod_20260217_010,2026-02-17,PLANT_US_01,PROD_GLASS_C3,3247,MACHINE_LINE_05,847.3,3447.08,2
prod_20260217_011,2026-02-17,PLANT_EU_01,PROD_GLASS_C3,4973,MACHINE_LINE_07,856.6,4626.68,28
prod_20260217_012,2026-02-17,PLANT_US_01,PROD_GLASS_C3,5709,MACHINE_LINE_01,855.1,5183.51,19
