production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20251230_001,2025-12-30,PLANT_EU_01,PROD_GLASS_A1,6892,MACHINE_LINE_06,882.4,5983.25,1
prod_20251230_002,2025-12-30,PLANT_US_01,PROD_GLASS_A1,5235,MACHINE_LINE_07,833.6,5101.47,2
prod_20251230_003,2025-12-30,PLANT_APAC_01,PROD_GLASS_B2,6482,MACHINE_LINE_01,845.0,5791.58,2
prod_20251230_004,2025-12-30,PLANT_APAC_01,PROD_GLASS_B2,6536,MACHINE_LINE_05,861.0,5997.78,20
prod_20251230_005,2025-12-30,PLANT_US_01,PROD_GLASS_A1,4347,MACHINE_LINE_05,847.8,3791.14,3
prod_20251230_006,2025-12-30,PLANT_EU_01,PROD_GLASS_A1,5166,MACHINE_LINE_01,847.8,4709.43,14
prod_20251230_007,2025-12-30,PLANT_EU_01,PROD_GLASS_A1,4161,MACHINE_LINE_04,860.5,4009.22,0
prod_20251230_008,2025-12-30,PLANT_US_01,PROD_GLASS_C3,6263,MACHINE_LINE_05,847.4,5898.62,14
prod_20251230_009,2025-12-30,PLANT_APAC_01,PROD_GLASS_A1,6751,MACHINE_LINE_05,860.0,5910.58,11
prod_20251230_010,2025-12-30,PLANT_EU_01,PROD_GLASS_B2,3415,MACHINE_LINE_05,822.8,3020.64,5
prod_20251230_011,2025-12-30,PLANT_US_01,PROD_GLASS_B2,6153,MACHINE_LINE_01,860.7,4913.21,13
prod_20251230_012,2025-12-30,PLANT_US_01,PROD_GLASS_B2,3730,MACHINE_LINE_01,842.1,3061.0,54
