supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Logistics,2026-01-30,2026-01-30,0,91.6
SUP_GLASS_RAW_02,Supplier_02,Packaging,2026-01-30,2026-01-30,0,95.7
SUP_METAL_FRAME_01,Supplier_01,Components,2026-01-31,2026-01-31,0,88.4
SUP_METAL_FRAME_02,Supplier_02,Logistics,2026-01-30,2026-01-30,0,90.0
SUP_ADHESIVE_01,Supplier_01,Logistics,2026-01-28,2026-01-28,0,94.9
SUP_ADHESIVE_02,Supplier_02,Logistics,2026-01-30,2026-01-30,0,86.6
SUP_LOGISTICS_01,Supplier_01,Packaging,2026-01-31,2026-01-31,0,92.4
SUP_LOGISTICS_02,Supplier_02,Logistics,2026-02-01,2026-02-01,0,94.6
SUP_LOGISTICS_03,Supplier_03,Raw Materials,2026-02-01,2026-02-01,0,88.1
SUP_PACKAGING_01,Supplier_01,Components,2026-01-31,2026-01-31,0,94.3
SUP_PACKAGING_02,Supplier_02,Logistics,2026-01-29,2026-01-28,1,88.2
