quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260101_001,2026-01-01,PROD_GLASS_C3,BATCH_2026_01_01_001,24,DISCOLORATION,0.48
qual_20260101_002,2026-01-01,PROD_GLASS_B2,BATCH_2026_01_01_002,135,DISCOLORATION,3.1
qual_20260101_003,2026-01-01,PROD_GLASS_C3,BATCH_2026_01_01_003,214,BUBBLE,4.85
qual_20260101_004,2026-01-01,PROD_GLASS_C3,BATCH_2026_01_01_004,122,OTHER,1.47
qual_20260101_005,2026-01-01,PROD_GLASS_B2,BATCH_2026_01_01_005,317,CRACK,3.61
qual_20260101_006,2026-01-01,PROD_GLASS_A1,BATCH_2026_01_01_006,31,SURFACE_SCRATCH,0.44
qual_20260101_007,2026-01-01,PROD_GLASS_C3,BATCH_2026_01_01_007,83,DIMENSION_OFF,1.07
qual_20260101_008,2026-01-01,PROD_GLASS_C3,BATCH_2026_01_01_008,117,DISCOLORATION,1.32
qual_20260101_009,2026-01-01,PROD_GLASS_B2,BATCH_2026_01_01_009,30,SURFACE_SCRATCH,0.6
qual_20260101_010,2026-01-01,PROD_GLASS_C3,BATCH_2026_01_01_010,338,SURFACE_SCRATCH,4.7
qual_20260101_011,2026-01-01,PROD_GLASS_A1,BATCH_2026_01_01_011,185,BUBBLE,2.71
qual_20260101_012,2026-01-01,PROD_GLASS_B2,BATCH_2026_01_01_012,41,SURFACE_SCRATCH,0.64
