production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260305_001,2026-03-05,PLANT_EU_01,PROD_GLASS_C3,5742,MACHINE_LINE_01,887.5,5415.28,0
prod_20260305_002,2026-03-05,PLANT_US_01,PROD_GLASS_B2,4244,MACHINE_LINE_07,827.7,4045.71,15
prod_20260305_003,2026-03-05,PLANT_APAC_01,PROD_GLASS_B2,4956,MACHINE_LINE_05,865.7,4440.33,24
prod_20260305_004,2026-03-05,PLANT_EU_01,PROD_GLASS_B2,4948,MACHINE_LINE_02,844.6,4531.3,4
prod_20260305_005,2026-03-05,PLANT_APAC_01,PROD_GLASS_C3,2769,MACHINE_LINE_03,843.4,3121.47,108
prod_20260305_006,2026-03-05,PLANT_EU_01,PROD_GLASS_C3,3159,MACHINE_LINE_04,877.9,2616.52,13
prod_20260305_007,2026-03-05,PLANT_EU_01,PROD_GLASS_A1,4062,MACHINE_LINE_02,846.1,3656.33,19
prod_20260305_008,2026-03-05,PLANT_US_01,PROD_GLASS_B2,4565,MACHINE_LINE_01,849.4,4123.18,11
prod_20260305_009,2026-03-05,PLANT_EU_01,PROD_GLASS_A1,5842,MACHINE_LINE_03,833.9,5725.97,15
prod_20260305_010,2026-03-05,PLANT_APAC_01,PROD_GLASS_A1,5177,MACHINE_LINE_02,843.4,4420.07,15
prod_20260305_011,2026-03-05,PLANT_APAC_01,PROD_GLASS_B2,4056,MACHINE_LINE_01,843.2,3501.77,11
prod_20260305_012,2026-03-05,PLANT_APAC_01,PROD_GLASS_C3,3415,MACHINE_LINE_04,855.9,3380.44,4
