supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Logistics,2026-03-23,2026-03-23,0,92.3
SUP_GLASS_RAW_02,Supplier_02,Raw Materials,2026-03-21,2026-03-21,0,87.8
SUP_METAL_FRAME_01,Supplier_01,Components,2026-03-22,2026-03-22,0,88.4
SUP_METAL_FRAME_02,Supplier_02,Components,2026-03-25,2026-03-25,0,89.9
SUP_ADHESIVE_01,Supplier_01,Logistics,2026-03-25,2026-03-25,0,89.2
SUP_ADHESIVE_02,Supplier_02,Components,2026-03-22,2026-03-22,0,91.9
SUP_LOGISTICS_01,Supplier_01,Components,2026-03-23,2026-03-23,0,88.2
SUP_LOGISTICS_02,Supplier_02,Components,2026-03-22,2026-03-22,0,86.2
SUP_LOGISTICS_03,Supplier_03,Components,2026-03-21,2026-03-21,0,96.3
SUP_PACKAGING_01,Supplier_01,Components,2026-03-24,2026-03-24,0,93.5
SUP_PACKAGING_02,Supplier_02,Raw Materials,2026-03-24,2026-03-24,0,90.5
