shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260220_001,PO_2026_02_001,PROD_GLASS_A1,506,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_GLASS_RAW_01,2026-02-18,2026-03-07,,0,IN_TRANSIT
ship_20260220_002,PO_2026_02_002,PROD_GLASS_B2,690,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_METAL_FRAME_02,2026-02-20,2026-02-28,,0,PENDING
ship_20260220_003,PO_2026_02_003,PROD_GLASS_A1,1582,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_LOGISTICS_02,2026-02-12,2026-03-01,,0,IN_TRANSIT
ship_20260220_004,PO_2026_02_004,PROD_GLASS_B2,859,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_01,2026-02-11,2026-02-28,2026-02-28,0,DELIVERED
ship_20260220_005,PO_2026_02_005,PROD_GLASS_B2,1808,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_ADHESIVE_01,2026-02-18,2026-03-15,,0,IN_TRANSIT
ship_20260220_006,PO_2026_02_006,PROD_GLASS_B2,655,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_LOGISTICS_02,2026-02-12,2026-02-26,,0,IN_TRANSIT
ship_20260220_007,PO_2026_02_007,PROD_GLASS_C3,2417,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_METAL_FRAME_01,2026-02-11,2026-02-28,2026-02-28,0,DELIVERED
ship_20260220_008,PO_2026_02_008,PROD_GLASS_A1,1490,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_METAL_FRAME_01,2026-02-20,2026-03-09,,0,PENDING
ship_20260220_009,PO_2026_02_009,PROD_GLASS_C3,2138,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_METAL_FRAME_01,2026-02-20,2026-02-28,,0,PENDING
ship_20260220_010,PO_2026_02_010,PROD_GLASS_A1,1244,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_METAL_FRAME_01,2026-02-11,2026-03-03,2026-03-03,0,DELIVERED
