quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260130_001,2026-01-30,PROD_GLASS_C3,BATCH_2026_01_30_001,51,DISCOLORATION,0.91
qual_20260130_002,2026-01-30,PROD_GLASS_C3,BATCH_2026_01_30_002,10,CRACK,0.24
qual_20260130_003,2026-01-30,PROD_GLASS_A1,BATCH_2026_01_30_003,245,OTHER,3.76
qual_20260130_004,2026-01-30,PROD_GLASS_C3,BATCH_2026_01_30_004,46,BUBBLE,1.12
qual_20260130_005,2026-01-30,PROD_GLASS_B2,BATCH_2026_01_30_005,75,DIMENSION_OFF,1.41
qual_20260130_006,2026-01-30,PROD_GLASS_B2,BATCH_2026_01_30_006,80,BUBBLE,0.92
qual_20260130_007,2026-01-30,PROD_GLASS_B2,BATCH_2026_01_30_007,84,CRACK,1.37
qual_20260130_008,2026-01-30,PROD_GLASS_B2,BATCH_2026_01_30_008,404,DISCOLORATION,4.84
qual_20260130_009,2026-01-30,PROD_GLASS_C3,BATCH_2026_01_30_009,68,DISCOLORATION,0.92
qual_20260130_010,2026-01-30,PROD_GLASS_B2,BATCH_2026_01_30_010,38,DISCOLORATION,0.47
qual_20260130_011,2026-01-30,PROD_GLASS_B2,BATCH_2026_01_30_011,334,BUBBLE,4.59
qual_20260130_012,2026-01-30,PROD_GLASS_C3,BATCH_2026_01_30_012,355,CRACK,4.15
