quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260107_001,2026-01-07,PROD_GLASS_C3,BATCH_2026_01_07_001,70,SURFACE_SCRATCH,1.01
qual_20260107_002,2026-01-07,PROD_GLASS_B2,BATCH_2026_01_07_002,241,BUBBLE,3.02
qual_20260107_003,2026-01-07,PROD_GLASS_B2,BATCH_2026_01_07_003,224,OTHER,4.6
qual_20260107_004,2026-01-07,PROD_GLASS_A1,BATCH_2026_01_07_004,32,SURFACE_SCRATCH,0.39
qual_20260107_005,2026-01-07,PROD_GLASS_A1,BATCH_2026_01_07_005,118,BUBBLE,1.45
qual_20260107_006,2026-01-07,PROD_GLASS_A1,BATCH_2026_01_07_006,73,OTHER,1.09
qual_20260107_007,2026-01-07,PROD_GLASS_C3,BATCH_2026_01_07_007,166,OTHER,3.73
qual_20260107_008,2026-01-07,PROD_GLASS_C3,BATCH_2026_01_07_008,59,SURFACE_SCRATCH,0.88
qual_20260107_009,2026-01-07,PROD_GLASS_C3,BATCH_2026_01_07_009,29,SURFACE_SCRATCH,0.34
qual_20260107_010,2026-01-07,PROD_GLASS_B2,BATCH_2026_01_07_010,32,DISCOLORATION,0.76
qual_20260107_011,2026-01-07,PROD_GLASS_B2,BATCH_2026_01_07_011,119,DISCOLORATION,1.21
qual_20260107_012,2026-01-07,PROD_GLASS_A1,BATCH_2026_01_07_012,84,SURFACE_SCRATCH,1.19
