quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260405_001,2026-04-05,PROD_GLASS_A1,BATCH_2026_04_05_001,43,DISCOLORATION,0.75
qual_20260405_002,2026-04-05,PROD_GLASS_A1,BATCH_2026_04_05_002,88,OTHER,0.91
qual_20260405_003,2026-04-05,PROD_GLASS_B2,BATCH_2026_04_05_003,41,DISCOLORATION,0.56
qual_20260405_004,2026-04-05,PROD_GLASS_A1,BATCH_2026_04_05_004,114,DISCOLORATION,1.19
qual_20260405_005,2026-04-05,PROD_GLASS_A1,BATCH_2026_04_05_005,41,SURFACE_SCRATCH,0.69
qual_20260405_006,2026-04-05,PROD_GLASS_B2,BATCH_2026_04_05_006,252,OTHER,2.9
qual_20260405_007,2026-04-05,PROD_GLASS_B2,BATCH_2026_04_05_007,50,BUBBLE,1.12
qual_20260405_008,2026-04-05,PROD_GLASS_B2,BATCH_2026_04_05_008,123,OTHER,1.38
qual_20260405_009,2026-04-05,PROD_GLASS_B2,BATCH_2026_04_05_009,109,DIMENSION_OFF,1.35
qual_20260405_010,2026-04-05,PROD_GLASS_C3,BATCH_2026_04_05_010,72,DIMENSION_OFF,0.9
qual_20260405_011,2026-04-05,PROD_GLASS_C3,BATCH_2026_04_05_011,95,CRACK,1.48
qual_20260405_012,2026-04-05,PROD_GLASS_A1,BATCH_2026_04_05_012,58,DISCOLORATION,1.0
