quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260115_001,2026-01-15,PROD_GLASS_B2,BATCH_2026_01_15_001,72,OTHER,0.89
qual_20260115_002,2026-01-15,PROD_GLASS_C3,BATCH_2026_01_15_002,104,DISCOLORATION,1.24
qual_20260115_003,2026-01-15,PROD_GLASS_B2,BATCH_2026_01_15_003,102,DIMENSION_OFF,1.24
qual_20260115_004,2026-01-15,PROD_GLASS_B2,BATCH_2026_01_15_004,89,DISCOLORATION,1.46
qual_20260115_005,2026-01-15,PROD_GLASS_A1,BATCH_2026_01_15_005,283,DISCOLORATION,3.97
qual_20260115_006,2026-01-15,PROD_GLASS_B2,BATCH_2026_01_15_006,119,OTHER,1.43
qual_20260115_007,2026-01-15,PROD_GLASS_A1,BATCH_2026_01_15_007,145,DIMENSION_OFF,2.08
qual_20260115_008,2026-01-15,PROD_GLASS_C3,BATCH_2026_01_15_008,197,OTHER,2.12
qual_20260115_009,2026-01-15,PROD_GLASS_A1,BATCH_2026_01_15_009,133,OTHER,3.29
qual_20260115_010,2026-01-15,PROD_GLASS_C3,BATCH_2026_01_15_010,67,OTHER,1.28
qual_20260115_011,2026-01-15,PROD_GLASS_A1,BATCH_2026_01_15_011,25,SURFACE_SCRATCH,0.46
qual_20260115_012,2026-01-15,PROD_GLASS_A1,BATCH_2026_01_15_012,117,DISCOLORATION,1.23
