inventory_id,date,product_id,warehouse_id,opening_stock,produced,shipped,closing_stock
inv_20260306_01,2026-03-06,PROD_GLASS_A1,WAREHOUSE_US_01,4596,14402,2822,16176
inv_20260306_02,2026-03-06,PROD_GLASS_A1,WAREHOUSE_EU_01,14571,14402,4399,24574
inv_20260306_03,2026-03-06,PROD_GLASS_A1,WAREHOUSE_APAC_01,4488,14402,593,18297
inv_20260306_04,2026-03-06,PROD_GLASS_A1,WAREHOUSE_US_02,4606,14402,0,19008
inv_20260306_05,2026-03-06,PROD_GLASS_A1,WAREHOUSE_APAC_02,11765,14402,0,26167
inv_20260306_06,2026-03-06,PROD_GLASS_A1,WAREHOUSE_EU_02,14604,14402,0,29006
inv_20260306_07,2026-03-06,PROD_GLASS_B2,WAREHOUSE_US_01,8070,25739,0,33809
inv_20260306_08,2026-03-06,PROD_GLASS_B2,WAREHOUSE_EU_01,8028,25739,0,33767
inv_20260306_09,2026-03-06,PROD_GLASS_B2,WAREHOUSE_APAC_01,5116,25739,0,30855
inv_20260306_10,2026-03-06,PROD_GLASS_B2,WAREHOUSE_US_02,12134,25739,0,37873
inv_20260306_11,2026-03-06,PROD_GLASS_B2,WAREHOUSE_APAC_02,11898,25739,0,37637
inv_20260306_12,2026-03-06,PROD_GLASS_B2,WAREHOUSE_EU_02,5476,25739,0,31215
inv_20260306_13,2026-03-06,PROD_GLASS_C3,WAREHOUSE_US_01,6818,15200,0,22018
inv_20260306_14,2026-03-06,PROD_GLASS_C3,WAREHOUSE_EU_01,10308,15200,1134,24374
inv_20260306_15,2026-03-06,PROD_GLASS_C3,WAREHOUSE_APAC_01,5536,15200,1811,18925
inv_20260306_16,2026-03-06,PROD_GLASS_C3,WAREHOUSE_US_02,11282,15200,0,26482
inv_20260306_17,2026-03-06,PROD_GLASS_C3,WAREHOUSE_APAC_02,9450,15200,0,24650
inv_20260306_18,2026-03-06,PROD_GLASS_C3,WAREHOUSE_EU_02,14970,15200,0,30170
