supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Components,2026-01-11,2026-01-11,0,86.8
SUP_GLASS_RAW_02,Supplier_02,Packaging,2026-01-12,2026-01-12,0,84.4
SUP_METAL_FRAME_01,Supplier_01,Components,2026-01-13,2026-01-13,0,93.4
SUP_METAL_FRAME_02,Supplier_02,Packaging,2026-01-11,2026-01-11,0,91.2
SUP_ADHESIVE_01,Supplier_01,Logistics,2026-01-14,2026-01-14,0,93.7
SUP_ADHESIVE_02,Supplier_02,Logistics,2026-01-12,2026-01-12,0,92.7
SUP_LOGISTICS_01,Supplier_01,Components,2026-01-13,2026-01-13,0,93.7
SUP_LOGISTICS_02,Supplier_02,Components,2026-01-12,2026-01-12,0,87.5
SUP_LOGISTICS_03,Supplier_03,Logistics,2026-01-10,2026-01-10,0,92.7
SUP_PACKAGING_01,Supplier_01,Components,2026-01-14,2026-01-14,0,90.1
SUP_PACKAGING_02,Supplier_02,Raw Materials,2026-01-11,2026-01-11,0,90.7
