inventory_id,date,product_id,warehouse_id,opening_stock,produced,shipped,closing_stock
inv_20260312_01,2026-03-12,PROD_GLASS_A1,WAREHOUSE_US_01,5786,29859,2313,33332
inv_20260312_02,2026-03-12,PROD_GLASS_A1,WAREHOUSE_EU_01,14283,29859,0,44142
inv_20260312_03,2026-03-12,PROD_GLASS_A1,WAREHOUSE_APAC_01,6031,29859,1005,34885
inv_20260312_04,2026-03-12,PROD_GLASS_A1,WAREHOUSE_US_02,9326,29859,0,39185
inv_20260312_05,2026-03-12,PROD_GLASS_A1,WAREHOUSE_APAC_02,8208,29859,0,38067
inv_20260312_06,2026-03-12,PROD_GLASS_A1,WAREHOUSE_EU_02,13578,29859,0,43437
inv_20260312_07,2026-03-12,PROD_GLASS_B2,WAREHOUSE_US_01,5155,12617,2387,15385
inv_20260312_08,2026-03-12,PROD_GLASS_B2,WAREHOUSE_EU_01,5159,12617,720,17056
inv_20260312_09,2026-03-12,PROD_GLASS_B2,WAREHOUSE_APAC_01,13695,12617,1993,24319
inv_20260312_10,2026-03-12,PROD_GLASS_B2,WAREHOUSE_US_02,8313,12617,0,20930
inv_20260312_11,2026-03-12,PROD_GLASS_B2,WAREHOUSE_APAC_02,9502,12617,0,22119
inv_20260312_12,2026-03-12,PROD_GLASS_B2,WAREHOUSE_EU_02,4316,12617,0,16933
inv_20260312_13,2026-03-12,PROD_GLASS_C3,WAREHOUSE_US_01,4203,17776,2046,19933
inv_20260312_14,2026-03-12,PROD_GLASS_C3,WAREHOUSE_EU_01,8775,17776,0,26551
inv_20260312_15,2026-03-12,PROD_GLASS_C3,WAREHOUSE_APAC_01,9618,17776,0,27394
inv_20260312_16,2026-03-12,PROD_GLASS_C3,WAREHOUSE_US_02,11129,17776,0,28905
inv_20260312_17,2026-03-12,PROD_GLASS_C3,WAREHOUSE_APAC_02,7941,17776,0,25717
inv_20260312_18,2026-03-12,PROD_GLASS_C3,WAREHOUSE_EU_02,13498,17776,0,31274
