inventory_id,date,product_id,warehouse_id,opening_stock,produced,shipped,closing_stock
inv_20260310_01,2026-03-10,PROD_GLASS_A1,WAREHOUSE_US_01,11537,9703,0,21240
inv_20260310_02,2026-03-10,PROD_GLASS_A1,WAREHOUSE_EU_01,13928,9703,0,23631
inv_20260310_03,2026-03-10,PROD_GLASS_A1,WAREHOUSE_APAC_01,14009,9703,0,23712
inv_20260310_04,2026-03-10,PROD_GLASS_A1,WAREHOUSE_US_02,13602,9703,0,23305
inv_20260310_05,2026-03-10,PROD_GLASS_A1,WAREHOUSE_APAC_02,9775,9703,0,19478
inv_20260310_06,2026-03-10,PROD_GLASS_A1,WAREHOUSE_EU_02,13352,9703,0,23055
inv_20260310_07,2026-03-10,PROD_GLASS_B2,WAREHOUSE_US_01,7660,23636,2163,29133
inv_20260310_08,2026-03-10,PROD_GLASS_B2,WAREHOUSE_EU_01,7586,23636,975,30247
inv_20260310_09,2026-03-10,PROD_GLASS_B2,WAREHOUSE_APAC_01,13693,23636,1374,35955
inv_20260310_10,2026-03-10,PROD_GLASS_B2,WAREHOUSE_US_02,8131,23636,0,31767
inv_20260310_11,2026-03-10,PROD_GLASS_B2,WAREHOUSE_APAC_02,14156,23636,0,37792
inv_20260310_12,2026-03-10,PROD_GLASS_B2,WAREHOUSE_EU_02,8981,23636,0,32617
inv_20260310_13,2026-03-10,PROD_GLASS_C3,WAREHOUSE_US_01,8562,20541,2405,26698
inv_20260310_14,2026-03-10,PROD_GLASS_C3,WAREHOUSE_EU_01,10454,20541,2575,28420
inv_20260310_15,2026-03-10,PROD_GLASS_C3,WAREHOUSE_APAC_01,7549,20541,1765,26325
inv_20260310_16,2026-03-10,PROD_GLASS_C3,WAREHOUSE_US_02,4333,20541,0,24874
inv_20260310_17,2026-03-10,PROD_GLASS_C3,WAREHOUSE_APAC_02,9941,20541,0,30482
inv_20260310_18,2026-03-10,PROD_GLASS_C3,WAREHOUSE_EU_02,6328,20541,0,26869
