supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Components,2026-01-19,2026-01-19,0,86.9
SUP_GLASS_RAW_02,Supplier_02,Packaging,2026-01-19,2026-01-19,0,89.9
SUP_METAL_FRAME_01,Supplier_01,Components,2026-01-19,2026-01-19,0,85.7
SUP_METAL_FRAME_02,Supplier_02,Packaging,2026-01-16,2026-01-16,0,90.9
SUP_ADHESIVE_01,Supplier_01,Logistics,2026-01-17,2026-01-17,0,88.6
SUP_ADHESIVE_02,Supplier_02,Components,2026-01-16,2026-01-16,0,94.1
SUP_LOGISTICS_01,Supplier_01,Logistics,2026-01-17,2026-01-17,0,88.2
SUP_LOGISTICS_02,Supplier_02,Raw Materials,2026-01-20,2026-01-20,0,88.4
SUP_LOGISTICS_03,Supplier_03,Packaging,2026-01-17,2026-01-17,0,94.4
SUP_PACKAGING_01,Supplier_01,Packaging,2026-01-18,2026-01-18,0,93.8
SUP_PACKAGING_02,Supplier_02,Logistics,2026-01-20,2026-01-20,0,90.0
