shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260101_001,PO_2026_01_001,PROD_GLASS_C3,775,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_ADHESIVE_02,2025-12-23,2026-01-11,,0,IN_TRANSIT
ship_20260101_002,PO_2026_01_002,PROD_GLASS_A1,1902,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_PACKAGING_02,2026-01-01,2026-01-10,,0,PENDING
ship_20260101_003,PO_2026_01_003,PROD_GLASS_A1,1247,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_ADHESIVE_01,2026-01-01,2026-01-06,,0,PENDING
ship_20260101_004,PO_2026_01_004,PROD_GLASS_C3,888,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_PACKAGING_01,2026-01-01,2026-01-06,,0,PENDING
ship_20260101_005,PO_2026_01_005,PROD_GLASS_B2,1251,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_METAL_FRAME_02,2026-01-01,2026-01-06,,0,PENDING
ship_20260101_006,PO_2026_01_006,PROD_GLASS_C3,2337,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_ADHESIVE_01,2025-12-24,2026-01-11,2026-01-11,0,DELIVERED
ship_20260101_007,PO_2026_01_007,PROD_GLASS_B2,2081,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_LOGISTICS_02,2025-12-30,2026-01-10,,0,IN_TRANSIT
ship_20260101_008,PO_2026_01_008,PROD_GLASS_A1,1475,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_LOGISTICS_02,2026-01-01,2026-01-09,,0,PENDING
ship_20260101_009,PO_2026_01_009,PROD_GLASS_B2,756,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_GLASS_RAW_01,2025-12-29,2026-01-07,2026-01-07,0,DELIVERED
ship_20260101_010,PO_2026_01_010,PROD_GLASS_A1,2304,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_PACKAGING_01,2025-12-24,2026-01-10,,0,IN_TRANSIT
