quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260125_001,2026-01-25,PROD_GLASS_A1,BATCH_2026_01_25_001,28,BUBBLE,0.51
qual_20260125_002,2026-01-25,PROD_GLASS_A1,BATCH_2026_01_25_002,107,DIMENSION_OFF,1.33
qual_20260125_003,2026-01-25,PROD_GLASS_B2,BATCH_2026_01_25_003,58,SURFACE_SCRATCH,1.17
qual_20260125_004,2026-01-25,PROD_GLASS_A1,BATCH_2026_01_25_004,44,DIMENSION_OFF,0.89
qual_20260125_005,2026-01-25,PROD_GLASS_C3,BATCH_2026_01_25_005,60,BUBBLE,1.2
qual_20260125_006,2026-01-25,PROD_GLASS_B2,BATCH_2026_01_25_006,80,CRACK,1.07
qual_20260125_007,2026-01-25,PROD_GLASS_B2,BATCH_2026_01_25_007,83,BUBBLE,1.3
qual_20260125_008,2026-01-25,PROD_GLASS_A1,BATCH_2026_01_25_008,35,DISCOLORATION,0.85
qual_20260125_009,2026-01-25,PROD_GLASS_B2,BATCH_2026_01_25_009,90,CRACK,1.17
qual_20260125_010,2026-01-25,PROD_GLASS_C3,BATCH_2026_01_25_010,53,DISCOLORATION,1.12
qual_20260125_011,2026-01-25,PROD_GLASS_B2,BATCH_2026_01_25_011,30,DIMENSION_OFF,0.36
qual_20260125_012,2026-01-25,PROD_GLASS_C3,BATCH_2026_01_25_012,73,SURFACE_SCRATCH,0.97
