quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260129_001,2026-01-29,PROD_GLASS_B2,BATCH_2026_01_29_001,66,CRACK,1.03
qual_20260129_002,2026-01-29,PROD_GLASS_B2,BATCH_2026_01_29_002,73,SURFACE_SCRATCH,1.45
qual_20260129_003,2026-01-29,PROD_GLASS_A1,BATCH_2026_01_29_003,19,OTHER,0.37
qual_20260129_004,2026-01-29,PROD_GLASS_B2,BATCH_2026_01_29_004,208,DISCOLORATION,3.54
qual_20260129_005,2026-01-29,PROD_GLASS_A1,BATCH_2026_01_29_005,111,OTHER,1.49
qual_20260129_006,2026-01-29,PROD_GLASS_B2,BATCH_2026_01_29_006,49,DIMENSION_OFF,0.57
qual_20260129_007,2026-01-29,PROD_GLASS_A1,BATCH_2026_01_29_007,44,DIMENSION_OFF,1.04
qual_20260129_008,2026-01-29,PROD_GLASS_C3,BATCH_2026_01_29_008,55,OTHER,1.27
qual_20260129_009,2026-01-29,PROD_GLASS_C3,BATCH_2026_01_29_009,164,SURFACE_SCRATCH,3.53
qual_20260129_010,2026-01-29,PROD_GLASS_C3,BATCH_2026_01_29_010,74,BUBBLE,0.85
qual_20260129_011,2026-01-29,PROD_GLASS_C3,BATCH_2026_01_29_011,353,DIMENSION_OFF,3.99
qual_20260129_012,2026-01-29,PROD_GLASS_A1,BATCH_2026_01_29_012,90,BUBBLE,0.95
