supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Logistics,2025-12-30,2025-12-30,0,89.7
SUP_GLASS_RAW_02,Supplier_02,Raw Materials,2025-12-28,2025-12-28,0,91.2
SUP_METAL_FRAME_01,Supplier_01,Logistics,2025-12-30,2025-12-30,0,89.9
SUP_METAL_FRAME_02,Supplier_02,Raw Materials,2026-01-01,2025-12-30,2,93.3
SUP_ADHESIVE_01,Supplier_01,Raw Materials,2026-01-01,2026-01-01,0,90.4
SUP_ADHESIVE_02,Supplier_02,Raw Materials,2025-12-29,2025-12-29,0,88.7
SUP_LOGISTICS_01,Supplier_01,Packaging,2025-12-31,2025-12-31,0,92.1
SUP_LOGISTICS_02,Supplier_02,Components,2026-01-01,2026-01-01,0,91.9
SUP_LOGISTICS_03,Supplier_03,Raw Materials,2025-12-31,2025-12-31,0,83.8
SUP_PACKAGING_01,Supplier_01,Packaging,2025-12-31,2025-12-31,0,90.1
SUP_PACKAGING_02,Supplier_02,Components,2025-12-31,2025-12-31,0,92.3
