quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260314_001,2026-03-14,PROD_GLASS_B2,BATCH_2026_03_14_001,121,DIMENSION_OFF,1.34
qual_20260314_002,2026-03-14,PROD_GLASS_A1,BATCH_2026_03_14_002,41,OTHER,0.87
qual_20260314_003,2026-03-14,PROD_GLASS_A1,BATCH_2026_03_14_003,115,OTHER,1.42
qual_20260314_004,2026-03-14,PROD_GLASS_A1,BATCH_2026_03_14_004,50,DISCOLORATION,0.86
qual_20260314_005,2026-03-14,PROD_GLASS_A1,BATCH_2026_03_14_005,63,BUBBLE,0.78
qual_20260314_006,2026-03-14,PROD_GLASS_C3,BATCH_2026_03_14_006,46,CRACK,1.12
qual_20260314_007,2026-03-14,PROD_GLASS_C3,BATCH_2026_03_14_007,247,DISCOLORATION,3.54
qual_20260314_008,2026-03-14,PROD_GLASS_A1,BATCH_2026_03_14_008,19,SURFACE_SCRATCH,0.26
qual_20260314_009,2026-03-14,PROD_GLASS_C3,BATCH_2026_03_14_009,47,CRACK,0.97
qual_20260314_010,2026-03-14,PROD_GLASS_A1,BATCH_2026_03_14_010,10,DIMENSION_OFF,0.21
qual_20260314_011,2026-03-14,PROD_GLASS_B2,BATCH_2026_03_14_011,35,BUBBLE,0.61
qual_20260314_012,2026-03-14,PROD_GLASS_A1,BATCH_2026_03_14_012,36,DIMENSION_OFF,0.59
