inventory_id,date,product_id,warehouse_id,opening_stock,produced,shipped,closing_stock
inv_20260315_01,2026-03-15,PROD_GLASS_A1,WAREHOUSE_US_01,14662,22813,886,36589
inv_20260315_02,2026-03-15,PROD_GLASS_A1,WAREHOUSE_EU_01,12628,22813,0,35441
inv_20260315_03,2026-03-15,PROD_GLASS_A1,WAREHOUSE_APAC_01,13056,22813,0,35869
inv_20260315_04,2026-03-15,PROD_GLASS_A1,WAREHOUSE_US_02,10565,22813,0,33378
inv_20260315_05,2026-03-15,PROD_GLASS_A1,WAREHOUSE_APAC_02,7842,22813,0,30655
inv_20260315_06,2026-03-15,PROD_GLASS_A1,WAREHOUSE_EU_02,8670,22813,0,31483
inv_20260315_07,2026-03-15,PROD_GLASS_B2,WAREHOUSE_US_01,8533,26876,680,34729
inv_20260315_08,2026-03-15,PROD_GLASS_B2,WAREHOUSE_EU_01,11716,26876,1715,36877
inv_20260315_09,2026-03-15,PROD_GLASS_B2,WAREHOUSE_APAC_01,5121,26876,2345,29652
inv_20260315_10,2026-03-15,PROD_GLASS_B2,WAREHOUSE_US_02,11237,26876,0,38113
inv_20260315_11,2026-03-15,PROD_GLASS_B2,WAREHOUSE_APAC_02,9172,26876,0,36048
inv_20260315_12,2026-03-15,PROD_GLASS_B2,WAREHOUSE_EU_02,13748,26876,0,40624
inv_20260315_13,2026-03-15,PROD_GLASS_C3,WAREHOUSE_US_01,10934,4397,0,15331
inv_20260315_14,2026-03-15,PROD_GLASS_C3,WAREHOUSE_EU_01,7986,4397,0,12383
inv_20260315_15,2026-03-15,PROD_GLASS_C3,WAREHOUSE_APAC_01,11859,4397,0,16256
inv_20260315_16,2026-03-15,PROD_GLASS_C3,WAREHOUSE_US_02,6927,4397,0,11324
inv_20260315_17,2026-03-15,PROD_GLASS_C3,WAREHOUSE_APAC_02,11800,4397,0,16197
inv_20260315_18,2026-03-15,PROD_GLASS_C3,WAREHOUSE_EU_02,11671,4397,0,16068
