shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260122_001,PO_2026_01_001,PROD_GLASS_B2,713,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_LOGISTICS_03,2026-01-22,2026-01-28,,0,PENDING
ship_20260122_002,PO_2026_01_002,PROD_GLASS_C3,1241,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_METAL_FRAME_02,2026-01-15,2026-02-11,2026-02-11,0,DELIVERED
ship_20260122_003,PO_2026_01_003,PROD_GLASS_B2,2442,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_ADHESIVE_01,2026-01-16,2026-01-27,,0,IN_TRANSIT
ship_20260122_004,PO_2026_01_004,PROD_GLASS_A1,668,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_METAL_FRAME_01,2026-01-19,2026-02-13,2026-02-13,0,DELIVERED
ship_20260122_005,PO_2026_01_005,PROD_GLASS_A1,2370,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_GLASS_RAW_01,2026-01-17,2026-01-31,2026-01-31,0,DELIVERED
ship_20260122_006,PO_2026_01_006,PROD_GLASS_A1,2009,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_PACKAGING_01,2026-01-19,2026-01-31,,0,IN_TRANSIT
ship_20260122_007,PO_2026_01_007,PROD_GLASS_C3,1860,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_METAL_FRAME_01,2026-01-19,2026-01-30,2026-02-02,3,DELIVERED
ship_20260122_008,PO_2026_01_008,PROD_GLASS_B2,2050,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_PACKAGING_01,2026-01-20,2026-01-27,2026-01-29,2,DELIVERED
ship_20260122_009,PO_2026_01_009,PROD_GLASS_C3,2382,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_METAL_FRAME_01,2026-01-16,2026-02-05,,0,IN_TRANSIT
ship_20260122_010,PO_2026_01_010,PROD_GLASS_B2,794,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_GLASS_RAW_01,2026-01-22,2026-02-12,,0,PENDING
