supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Components,2026-03-24,2026-03-24,0,90.9
SUP_GLASS_RAW_02,Supplier_02,Packaging,2026-03-25,2026-03-24,1,86.4
SUP_METAL_FRAME_01,Supplier_01,Components,2026-03-25,2026-03-25,0,89.5
SUP_METAL_FRAME_02,Supplier_02,Components,2026-03-25,2026-03-25,0,87.7
SUP_ADHESIVE_01,Supplier_01,Packaging,2026-03-26,2026-03-26,0,92.7
SUP_ADHESIVE_02,Supplier_02,Packaging,2026-03-25,2026-03-25,0,91.0
SUP_LOGISTICS_01,Supplier_01,Packaging,2026-03-23,2026-03-23,0,91.6
SUP_LOGISTICS_02,Supplier_02,Raw Materials,2026-03-26,2026-03-24,2,90.7
SUP_LOGISTICS_03,Supplier_03,Components,2026-03-26,2026-03-26,0,86.9
SUP_PACKAGING_01,Supplier_01,Logistics,2026-03-23,2026-03-23,0,89.7
SUP_PACKAGING_02,Supplier_02,Packaging,2026-03-24,2026-03-24,0,89.1
