supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Packaging,2026-02-15,2026-02-15,0,93.5
SUP_GLASS_RAW_02,Supplier_02,Components,2026-02-15,2026-02-15,0,85.3
SUP_METAL_FRAME_01,Supplier_01,Logistics,2026-02-15,2026-02-15,0,88.9
SUP_METAL_FRAME_02,Supplier_02,Packaging,2026-02-15,2026-02-14,1,88.4
SUP_ADHESIVE_01,Supplier_01,Raw Materials,2026-02-17,2026-02-17,0,91.5
SUP_ADHESIVE_02,Supplier_02,Raw Materials,2026-02-15,2026-02-15,0,90.5
SUP_LOGISTICS_01,Supplier_01,Raw Materials,2026-02-14,2026-02-14,0,93.5
SUP_LOGISTICS_02,Supplier_02,Raw Materials,2026-02-15,2026-02-15,0,87.8
SUP_LOGISTICS_03,Supplier_03,Components,2026-02-17,2026-02-17,0,91.7
SUP_PACKAGING_01,Supplier_01,Raw Materials,2026-02-13,2026-02-13,0,96.7
SUP_PACKAGING_02,Supplier_02,Logistics,2026-02-13,2026-02-13,0,89.5
