quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260306_001,2026-03-06,PROD_GLASS_A1,BATCH_2026_03_06_001,76,CRACK,1.04
qual_20260306_002,2026-03-06,PROD_GLASS_A1,BATCH_2026_03_06_002,126,OTHER,1.5
qual_20260306_003,2026-03-06,PROD_GLASS_B2,BATCH_2026_03_06_003,96,DIMENSION_OFF,1.25
qual_20260306_004,2026-03-06,PROD_GLASS_C3,BATCH_2026_03_06_004,11,SURFACE_SCRATCH,0.17
qual_20260306_005,2026-03-06,PROD_GLASS_C3,BATCH_2026_03_06_005,76,DISCOLORATION,1.02
qual_20260306_006,2026-03-06,PROD_GLASS_C3,BATCH_2026_03_06_006,217,DIMENSION_OFF,4.59
qual_20260306_007,2026-03-06,PROD_GLASS_B2,BATCH_2026_03_06_007,106,DISCOLORATION,1.14
qual_20260306_008,2026-03-06,PROD_GLASS_B2,BATCH_2026_03_06_008,195,SURFACE_SCRATCH,3.74
qual_20260306_009,2026-03-06,PROD_GLASS_C3,BATCH_2026_03_06_009,52,SURFACE_SCRATCH,0.81
qual_20260306_010,2026-03-06,PROD_GLASS_B2,BATCH_2026_03_06_010,19,BUBBLE,0.31
qual_20260306_011,2026-03-06,PROD_GLASS_A1,BATCH_2026_03_06_011,51,SURFACE_SCRATCH,0.94
qual_20260306_012,2026-03-06,PROD_GLASS_B2,BATCH_2026_03_06_012,26,BUBBLE,0.62
