shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260128_001,PO_2026_01_001,PROD_GLASS_B2,1948,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_02,2026-01-28,2026-02-06,,0,PENDING
ship_20260128_002,PO_2026_01_002,PROD_GLASS_A1,2056,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_02,2026-01-27,2026-02-02,,0,IN_TRANSIT
ship_20260128_003,PO_2026_01_003,PROD_GLASS_A1,1420,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_METAL_FRAME_01,2026-01-28,2026-02-20,,0,PENDING
ship_20260128_004,PO_2026_01_004,PROD_GLASS_A1,792,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_GLASS_RAW_02,2026-01-20,2026-02-06,2026-02-06,0,DELIVERED
ship_20260128_005,PO_2026_01_005,PROD_GLASS_A1,1304,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_02,2026-01-27,2026-02-05,,0,IN_TRANSIT
ship_20260128_006,PO_2026_01_006,PROD_GLASS_A1,1399,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_ADHESIVE_01,2026-01-26,2026-02-03,,0,IN_TRANSIT
ship_20260128_007,PO_2026_01_007,PROD_GLASS_A1,1179,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_PACKAGING_01,2026-01-22,2026-02-05,2026-02-05,0,DELIVERED
ship_20260128_008,PO_2026_01_008,PROD_GLASS_B2,2241,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_PACKAGING_01,2026-01-28,2026-02-06,,0,PENDING
ship_20260128_009,PO_2026_01_009,PROD_GLASS_A1,1450,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_METAL_FRAME_01,2026-01-21,2026-02-04,,0,IN_TRANSIT
ship_20260128_010,PO_2026_01_010,PROD_GLASS_A1,2142,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_GLASS_RAW_01,2026-01-28,2026-02-05,,0,PENDING
