production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260310_001,2026-03-10,PLANT_EU_01,PROD_GLASS_C3,3286,MACHINE_LINE_01,846.7,3146.18,27
prod_20260310_002,2026-03-10,PLANT_APAC_01,PROD_GLASS_B2,5855,MACHINE_LINE_03,852.3,5288.93,11
prod_20260310_003,2026-03-10,PLANT_APAC_01,PROD_GLASS_B2,5353,MACHINE_LINE_04,835.2,4930.71,15
prod_20260310_004,2026-03-10,PLANT_US_01,PROD_GLASS_C3,3611,MACHINE_LINE_03,821.9,3094.23,17
prod_20260310_005,2026-03-10,PLANT_EU_01,PROD_GLASS_A1,4165,MACHINE_LINE_05,873.3,3982.0,89
prod_20260310_006,2026-03-10,PLANT_US_01,PROD_GLASS_B2,3751,MACHINE_LINE_05,847.6,3511.83,27
prod_20260310_007,2026-03-10,PLANT_US_01,PROD_GLASS_C3,5755,MACHINE_LINE_04,852.0,5397.07,21
prod_20260310_008,2026-03-10,PLANT_APAC_01,PROD_GLASS_C3,4068,MACHINE_LINE_07,811.8,3536.57,9
prod_20260310_009,2026-03-10,PLANT_APAC_01,PROD_GLASS_B2,3289,MACHINE_LINE_01,828.7,2748.6,3
prod_20260310_010,2026-03-10,PLANT_EU_01,PROD_GLASS_A1,5538,MACHINE_LINE_07,854.9,5175.28,14
prod_20260310_011,2026-03-10,PLANT_APAC_01,PROD_GLASS_B2,5388,MACHINE_LINE_05,851.2,5090.26,6
prod_20260310_012,2026-03-10,PLANT_US_01,PROD_GLASS_C3,3821,MACHINE_LINE_01,845.9,3561.09,27
