inventory_id,date,product_id,warehouse_id,opening_stock,produced,shipped,closing_stock
inv_20260221_01,2026-02-21,PROD_GLASS_A1,WAREHOUSE_US_01,9476,8732,3556,14652
inv_20260221_02,2026-02-21,PROD_GLASS_A1,WAREHOUSE_EU_01,8664,8732,0,17396
inv_20260221_03,2026-02-21,PROD_GLASS_A1,WAREHOUSE_APAC_01,11529,8732,0,20261
inv_20260221_04,2026-02-21,PROD_GLASS_A1,WAREHOUSE_US_02,14115,8732,0,22847
inv_20260221_05,2026-02-21,PROD_GLASS_A1,WAREHOUSE_APAC_02,14474,8732,0,23206
inv_20260221_06,2026-02-21,PROD_GLASS_A1,WAREHOUSE_EU_02,9331,8732,0,18063
inv_20260221_07,2026-02-21,PROD_GLASS_B2,WAREHOUSE_US_01,6352,22590,2179,26763
inv_20260221_08,2026-02-21,PROD_GLASS_B2,WAREHOUSE_EU_01,4945,22590,0,27535
inv_20260221_09,2026-02-21,PROD_GLASS_B2,WAREHOUSE_APAC_01,8925,22590,0,31515
inv_20260221_10,2026-02-21,PROD_GLASS_B2,WAREHOUSE_US_02,12232,22590,0,34822
inv_20260221_11,2026-02-21,PROD_GLASS_B2,WAREHOUSE_APAC_02,11982,22590,0,34572
inv_20260221_12,2026-02-21,PROD_GLASS_B2,WAREHOUSE_EU_02,11496,22590,0,34086
inv_20260221_13,2026-02-21,PROD_GLASS_C3,WAREHOUSE_US_01,9283,25247,4051,30479
inv_20260221_14,2026-02-21,PROD_GLASS_C3,WAREHOUSE_EU_01,5331,25247,2245,28333
inv_20260221_15,2026-02-21,PROD_GLASS_C3,WAREHOUSE_APAC_01,8646,25247,2294,31599
inv_20260221_16,2026-02-21,PROD_GLASS_C3,WAREHOUSE_US_02,14534,25247,0,39781
inv_20260221_17,2026-02-21,PROD_GLASS_C3,WAREHOUSE_APAC_02,5574,25247,0,30821
inv_20260221_18,2026-02-21,PROD_GLASS_C3,WAREHOUSE_EU_02,10758,25247,0,36005
