supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Packaging,2026-03-17,2026-03-17,0,89.0
SUP_GLASS_RAW_02,Supplier_02,Logistics,2026-03-16,2026-03-16,0,91.8
SUP_METAL_FRAME_01,Supplier_01,Components,2026-03-15,2026-03-15,0,84.3
SUP_METAL_FRAME_02,Supplier_02,Logistics,2026-03-13,2026-03-13,0,85.4
SUP_ADHESIVE_01,Supplier_01,Packaging,2026-03-16,2026-03-16,0,91.7
SUP_ADHESIVE_02,Supplier_02,Components,2026-03-17,2026-03-16,1,88.0
SUP_LOGISTICS_01,Supplier_01,Packaging,2026-03-15,2026-03-15,0,92.1
SUP_LOGISTICS_02,Supplier_02,Components,2026-03-17,2026-03-17,0,90.2
SUP_LOGISTICS_03,Supplier_03,Packaging,2026-03-16,2026-03-16,0,91.0
SUP_PACKAGING_01,Supplier_01,Components,2026-03-17,2026-03-17,0,93.1
SUP_PACKAGING_02,Supplier_02,Raw Materials,2026-03-16,2026-03-14,2,91.5
