quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260319_001,2026-03-19,PROD_GLASS_A1,BATCH_2026_03_19_001,42,OTHER,0.51
qual_20260319_002,2026-03-19,PROD_GLASS_C3,BATCH_2026_03_19_002,62,DIMENSION_OFF,0.89
qual_20260319_003,2026-03-19,PROD_GLASS_A1,BATCH_2026_03_19_003,362,BUBBLE,3.83
qual_20260319_004,2026-03-19,PROD_GLASS_C3,BATCH_2026_03_19_004,40,DIMENSION_OFF,0.45
qual_20260319_005,2026-03-19,PROD_GLASS_A1,BATCH_2026_03_19_005,12,DIMENSION_OFF,0.18
qual_20260319_006,2026-03-19,PROD_GLASS_A1,BATCH_2026_03_19_006,106,BUBBLE,2.2
qual_20260319_007,2026-03-19,PROD_GLASS_A1,BATCH_2026_03_19_007,71,BUBBLE,0.72
qual_20260319_008,2026-03-19,PROD_GLASS_C3,BATCH_2026_03_19_008,83,DISCOLORATION,1.03
qual_20260319_009,2026-03-19,PROD_GLASS_A1,BATCH_2026_03_19_009,55,OTHER,1.05
qual_20260319_010,2026-03-19,PROD_GLASS_B2,BATCH_2026_03_19_010,71,BUBBLE,0.86
qual_20260319_011,2026-03-19,PROD_GLASS_B2,BATCH_2026_03_19_011,77,SURFACE_SCRATCH,1.08
qual_20260319_012,2026-03-19,PROD_GLASS_A1,BATCH_2026_03_19_012,250,DIMENSION_OFF,4.29
