supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Logistics,2026-01-15,2026-01-13,2,95.5
SUP_GLASS_RAW_02,Supplier_02,Logistics,2026-01-15,2026-01-15,0,94.0
SUP_METAL_FRAME_01,Supplier_01,Raw Materials,2026-01-15,2026-01-15,0,92.4
SUP_METAL_FRAME_02,Supplier_02,Logistics,2026-01-12,2026-01-12,0,91.3
SUP_ADHESIVE_01,Supplier_01,Raw Materials,2026-01-13,2026-01-11,2,85.8
SUP_ADHESIVE_02,Supplier_02,Logistics,2026-01-13,2026-01-13,0,87.1
SUP_LOGISTICS_01,Supplier_01,Packaging,2026-01-15,2026-01-15,0,97.1
SUP_LOGISTICS_02,Supplier_02,Components,2026-01-15,2026-01-15,0,95.9
SUP_LOGISTICS_03,Supplier_03,Raw Materials,2026-01-13,2026-01-12,1,93.3
SUP_PACKAGING_01,Supplier_01,Components,2026-01-15,2026-01-15,0,91.5
SUP_PACKAGING_02,Supplier_02,Raw Materials,2026-01-15,2026-01-15,0,95.0
