inventory_id,date,product_id,warehouse_id,opening_stock,produced,shipped,closing_stock
inv_20260127_01,2026-01-27,PROD_GLASS_A1,WAREHOUSE_US_01,5822,13290,3848,15264
inv_20260127_02,2026-01-27,PROD_GLASS_A1,WAREHOUSE_EU_01,10276,13290,0,23566
inv_20260127_03,2026-01-27,PROD_GLASS_A1,WAREHOUSE_APAC_01,14941,13290,0,28231
inv_20260127_04,2026-01-27,PROD_GLASS_A1,WAREHOUSE_US_02,9668,13290,0,22958
inv_20260127_05,2026-01-27,PROD_GLASS_A1,WAREHOUSE_APAC_02,12855,13290,0,26145
inv_20260127_06,2026-01-27,PROD_GLASS_A1,WAREHOUSE_EU_02,8510,13290,0,21800
inv_20260127_07,2026-01-27,PROD_GLASS_B2,WAREHOUSE_US_01,12118,17271,0,29389
inv_20260127_08,2026-01-27,PROD_GLASS_B2,WAREHOUSE_EU_01,12760,17271,0,30031
inv_20260127_09,2026-01-27,PROD_GLASS_B2,WAREHOUSE_APAC_01,9786,17271,0,27057
inv_20260127_10,2026-01-27,PROD_GLASS_B2,WAREHOUSE_US_02,9189,17271,0,26460
inv_20260127_11,2026-01-27,PROD_GLASS_B2,WAREHOUSE_APAC_02,6547,17271,0,23818
inv_20260127_12,2026-01-27,PROD_GLASS_B2,WAREHOUSE_EU_02,4606,17271,0,21877
inv_20260127_13,2026-01-27,PROD_GLASS_C3,WAREHOUSE_US_01,5619,27090,501,32208
inv_20260127_14,2026-01-27,PROD_GLASS_C3,WAREHOUSE_EU_01,7803,27090,4663,30230
inv_20260127_15,2026-01-27,PROD_GLASS_C3,WAREHOUSE_APAC_01,11110,27090,2067,36133
inv_20260127_16,2026-01-27,PROD_GLASS_C3,WAREHOUSE_US_02,10379,27090,0,37469
inv_20260127_17,2026-01-27,PROD_GLASS_C3,WAREHOUSE_APAC_02,4728,27090,0,31818
inv_20260127_18,2026-01-27,PROD_GLASS_C3,WAREHOUSE_EU_02,11102,27090,0,38192
