supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Components,2026-01-23,2026-01-23,0,87.6
SUP_GLASS_RAW_02,Supplier_02,Packaging,2026-01-24,2026-01-24,0,94.5
SUP_METAL_FRAME_01,Supplier_01,Raw Materials,2026-01-26,2026-01-26,0,95.0
SUP_METAL_FRAME_02,Supplier_02,Logistics,2026-01-23,2026-01-23,0,89.5
SUP_ADHESIVE_01,Supplier_01,Raw Materials,2026-01-27,2026-01-27,0,91.0
SUP_ADHESIVE_02,Supplier_02,Packaging,2026-01-25,2026-01-25,0,90.6
SUP_LOGISTICS_01,Supplier_01,Logistics,2026-01-23,2026-01-23,0,86.1
SUP_LOGISTICS_02,Supplier_02,Components,2026-01-25,2026-01-25,0,94.1
SUP_LOGISTICS_03,Supplier_03,Packaging,2026-01-27,2026-01-27,0,89.6
SUP_PACKAGING_01,Supplier_01,Logistics,2026-01-25,2026-01-25,0,91.4
SUP_PACKAGING_02,Supplier_02,Packaging,2026-01-24,2026-01-24,0,93.9
