quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260110_001,2026-01-10,PROD_GLASS_B2,BATCH_2026_01_10_001,13,DISCOLORATION,0.2
qual_20260110_002,2026-01-10,PROD_GLASS_A1,BATCH_2026_01_10_002,131,DISCOLORATION,1.4
qual_20260110_003,2026-01-10,PROD_GLASS_A1,BATCH_2026_01_10_003,273,DIMENSION_OFF,4.12
qual_20260110_004,2026-01-10,PROD_GLASS_A1,BATCH_2026_01_10_004,217,DISCOLORATION,2.97
qual_20260110_005,2026-01-10,PROD_GLASS_C3,BATCH_2026_01_10_005,49,DISCOLORATION,0.76
qual_20260110_006,2026-01-10,PROD_GLASS_B2,BATCH_2026_01_10_006,361,DISCOLORATION,4.29
qual_20260110_007,2026-01-10,PROD_GLASS_C3,BATCH_2026_01_10_007,374,DISCOLORATION,3.8
qual_20260110_008,2026-01-10,PROD_GLASS_A1,BATCH_2026_01_10_008,317,OTHER,3.49
qual_20260110_009,2026-01-10,PROD_GLASS_C3,BATCH_2026_01_10_009,38,OTHER,0.88
qual_20260110_010,2026-01-10,PROD_GLASS_B2,BATCH_2026_01_10_010,78,BUBBLE,1.37
qual_20260110_011,2026-01-10,PROD_GLASS_B2,BATCH_2026_01_10_011,79,BUBBLE,1.2
qual_20260110_012,2026-01-10,PROD_GLASS_A1,BATCH_2026_01_10_012,104,DIMENSION_OFF,1.05
