supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Raw Materials,2026-03-09,2026-03-09,0,91.4
SUP_GLASS_RAW_02,Supplier_02,Raw Materials,2026-03-06,2026-03-06,0,93.1
SUP_METAL_FRAME_01,Supplier_01,Raw Materials,2026-03-07,2026-03-07,0,90.1
SUP_METAL_FRAME_02,Supplier_02,Components,2026-03-09,2026-03-09,0,90.8
SUP_ADHESIVE_01,Supplier_01,Packaging,2026-03-06,2026-03-06,0,91.5
SUP_ADHESIVE_02,Supplier_02,Logistics,2026-03-08,2026-03-08,0,94.6
SUP_LOGISTICS_01,Supplier_01,Packaging,2026-03-05,2026-03-05,0,90.3
SUP_LOGISTICS_02,Supplier_02,Components,2026-03-09,2026-03-09,0,88.5
SUP_LOGISTICS_03,Supplier_03,Components,2026-03-10,2026-03-09,1,89.9
SUP_PACKAGING_01,Supplier_01,Components,2026-03-05,2026-03-05,0,85.9
SUP_PACKAGING_02,Supplier_02,Logistics,2026-03-08,2026-03-08,0,90.1
