supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Logistics,2026-01-06,2026-01-06,0,96.5
SUP_GLASS_RAW_02,Supplier_02,Components,2026-01-08,2026-01-08,0,98.2
SUP_METAL_FRAME_01,Supplier_01,Components,2026-01-08,2026-01-08,0,93.5
SUP_METAL_FRAME_02,Supplier_02,Packaging,2026-01-08,2026-01-07,1,94.1
SUP_ADHESIVE_01,Supplier_01,Packaging,2026-01-07,2026-01-07,0,94.5
SUP_ADHESIVE_02,Supplier_02,Components,2026-01-08,2026-01-08,0,90.6
SUP_LOGISTICS_01,Supplier_01,Raw Materials,2026-01-08,2026-01-08,0,93.9
SUP_LOGISTICS_02,Supplier_02,Packaging,2026-01-08,2026-01-08,0,87.1
SUP_LOGISTICS_03,Supplier_03,Packaging,2026-01-06,2026-01-06,0,93.4
SUP_PACKAGING_01,Supplier_01,Logistics,2026-01-07,2026-01-07,0,88.6
SUP_PACKAGING_02,Supplier_02,Components,2026-01-08,2026-01-08,0,91.1
