supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Raw Materials,2026-02-20,2026-02-20,0,93.9
SUP_GLASS_RAW_02,Supplier_02,Logistics,2026-02-24,2026-02-23,1,82.7
SUP_METAL_FRAME_01,Supplier_01,Logistics,2026-02-20,2026-02-20,0,90.8
SUP_METAL_FRAME_02,Supplier_02,Logistics,2026-02-19,2026-02-19,0,88.4
SUP_ADHESIVE_01,Supplier_01,Packaging,2026-02-20,2026-02-20,0,89.4
SUP_ADHESIVE_02,Supplier_02,Raw Materials,2026-02-22,2026-02-22,0,91.4
SUP_LOGISTICS_01,Supplier_01,Logistics,2026-02-21,2026-02-20,1,91.9
SUP_LOGISTICS_02,Supplier_02,Logistics,2026-02-20,2026-02-20,0,89.4
SUP_LOGISTICS_03,Supplier_03,Logistics,2026-02-20,2026-02-20,0,91.2
SUP_PACKAGING_01,Supplier_01,Packaging,2026-02-21,2026-02-21,0,91.9
SUP_PACKAGING_02,Supplier_02,Packaging,2026-02-23,2026-02-22,1,92.1
