shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260303_001,PO_2026_03_001,PROD_GLASS_C3,1712,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_METAL_FRAME_01,2026-03-03,2026-03-09,,0,PENDING
ship_20260303_002,PO_2026_03_002,PROD_GLASS_C3,1859,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_ADHESIVE_01,2026-03-03,2026-03-12,,0,PENDING
ship_20260303_003,PO_2026_03_003,PROD_GLASS_B2,1715,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_ADHESIVE_01,2026-02-25,2026-03-24,,0,IN_TRANSIT
ship_20260303_004,PO_2026_03_004,PROD_GLASS_B2,2076,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_GLASS_RAW_02,2026-03-03,2026-03-12,,0,PENDING
ship_20260303_005,PO_2026_03_005,PROD_GLASS_B2,1298,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_METAL_FRAME_02,2026-02-27,2026-03-12,2026-03-12,0,DELIVERED
ship_20260303_006,PO_2026_03_006,PROD_GLASS_A1,1420,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_LOGISTICS_01,2026-03-03,2026-03-12,,0,PENDING
ship_20260303_007,PO_2026_03_007,PROD_GLASS_C3,1544,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_LOGISTICS_03,2026-03-03,2026-03-12,,0,PENDING
ship_20260303_008,PO_2026_03_008,PROD_GLASS_B2,2166,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_LOGISTICS_01,2026-03-02,2026-03-25,2026-03-29,4,DELIVERED
ship_20260303_009,PO_2026_03_009,PROD_GLASS_C3,1000,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_METAL_FRAME_01,2026-03-03,2026-03-12,,0,PENDING
ship_20260303_010,PO_2026_03_010,PROD_GLASS_B2,762,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_GLASS_RAW_02,2026-03-01,2026-03-08,2026-03-08,0,DELIVERED
