production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260120_001,2026-01-20,PLANT_US_01,PROD_GLASS_C3,6727,MACHINE_LINE_02,861.8,6245.49,25
prod_20260120_002,2026-01-20,PLANT_APAC_01,PROD_GLASS_B2,5999,MACHINE_LINE_03,872.8,5592.33,5
prod_20260120_003,2026-01-20,PLANT_APAC_01,PROD_GLASS_A1,2702,MACHINE_LINE_05,834.6,2669.38,33
prod_20260120_004,2026-01-20,PLANT_APAC_01,PROD_GLASS_B2,3550,MACHINE_LINE_05,827.8,3086.72,17
prod_20260120_005,2026-01-20,PLANT_APAC_01,PROD_GLASS_A1,3527,MACHINE_LINE_02,866.2,3299.13,15
prod_20260120_006,2026-01-20,PLANT_US_01,PROD_GLASS_C3,5255,MACHINE_LINE_05,844.5,5176.79,27
prod_20260120_007,2026-01-20,PLANT_US_01,PROD_GLASS_C3,6958,MACHINE_LINE_01,840.9,6221.83,2
prod_20260120_008,2026-01-20,PLANT_APAC_01,PROD_GLASS_A1,6534,MACHINE_LINE_05,867.9,6238.03,0
prod_20260120_009,2026-01-20,PLANT_US_01,PROD_GLASS_C3,3855,MACHINE_LINE_07,849.3,3530.55,5
prod_20260120_010,2026-01-20,PLANT_EU_01,PROD_GLASS_A1,3643,MACHINE_LINE_02,865.2,3453.13,110
prod_20260120_011,2026-01-20,PLANT_EU_01,PROD_GLASS_A1,5734,MACHINE_LINE_03,891.6,4930.39,24
prod_20260120_012,2026-01-20,PLANT_US_01,PROD_GLASS_A1,3753,MACHINE_LINE_02,835.6,3206.9,19
