production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260211_001,2026-02-11,PLANT_EU_01,PROD_GLASS_C3,6426,MACHINE_LINE_03,836.7,5659.23,19
prod_20260211_002,2026-02-11,PLANT_APAC_01,PROD_GLASS_C3,3527,MACHINE_LINE_02,861.8,3280.47,29
prod_20260211_003,2026-02-11,PLANT_EU_01,PROD_GLASS_A1,5893,MACHINE_LINE_05,831.6,5406.45,10
prod_20260211_004,2026-02-11,PLANT_APAC_01,PROD_GLASS_C3,3877,MACHINE_LINE_02,856.7,3318.64,46
prod_20260211_005,2026-02-11,PLANT_APAC_01,PROD_GLASS_B2,6007,MACHINE_LINE_06,842.4,5343.55,14
prod_20260211_006,2026-02-11,PLANT_US_01,PROD_GLASS_C3,5954,MACHINE_LINE_02,845.9,5196.52,11
prod_20260211_007,2026-02-11,PLANT_EU_01,PROD_GLASS_C3,5888,MACHINE_LINE_04,858.3,5159.52,0
prod_20260211_008,2026-02-11,PLANT_EU_01,PROD_GLASS_A1,6634,MACHINE_LINE_02,813.4,6111.43,27
prod_20260211_009,2026-02-11,PLANT_US_01,PROD_GLASS_A1,5297,MACHINE_LINE_01,853.9,4957.39,16
prod_20260211_010,2026-02-11,PLANT_US_01,PROD_GLASS_A1,2277,MACHINE_LINE_06,847.4,2026.42,77
prod_20260211_011,2026-02-11,PLANT_APAC_01,PROD_GLASS_B2,5751,MACHINE_LINE_04,838.0,5050.55,14
prod_20260211_012,2026-02-11,PLANT_EU_01,PROD_GLASS_B2,2218,MACHINE_LINE_05,826.0,1907.71,41
