production_id,date,plant_id,product_id,quantity_produced,machine_id,temperature,energy_consumption,downtime_minutes
prod_20260209_001,2026-02-09,PLANT_EU_01,PROD_GLASS_C3,4588,MACHINE_LINE_07,867.9,4193.84,27
prod_20260209_002,2026-02-09,PLANT_EU_01,PROD_GLASS_C3,6620,MACHINE_LINE_04,870.4,5830.14,12
prod_20260209_003,2026-02-09,PLANT_US_01,PROD_GLASS_A1,4312,MACHINE_LINE_06,874.6,3748.12,12
prod_20260209_004,2026-02-09,PLANT_APAC_01,PROD_GLASS_C3,6182,MACHINE_LINE_03,843.6,5742.79,1
prod_20260209_005,2026-02-09,PLANT_US_01,PROD_GLASS_C3,6399,MACHINE_LINE_06,851.3,6084.78,11
prod_20260209_006,2026-02-09,PLANT_EU_01,PROD_GLASS_A1,4625,MACHINE_LINE_02,871.9,4260.37,14
prod_20260209_007,2026-02-09,PLANT_EU_01,PROD_GLASS_B2,4094,MACHINE_LINE_05,857.2,3803.88,12
prod_20260209_008,2026-02-09,PLANT_EU_01,PROD_GLASS_A1,2158,MACHINE_LINE_03,848.3,1964.6,79
prod_20260209_009,2026-02-09,PLANT_EU_01,PROD_GLASS_C3,3102,MACHINE_LINE_02,843.5,2452.75,9
prod_20260209_010,2026-02-09,PLANT_EU_01,PROD_GLASS_A1,4296,MACHINE_LINE_05,843.9,3617.29,17
prod_20260209_011,2026-02-09,PLANT_APAC_01,PROD_GLASS_B2,6607,MACHINE_LINE_07,848.8,5706.98,18
prod_20260209_012,2026-02-09,PLANT_US_01,PROD_GLASS_B2,5460,MACHINE_LINE_06,863.8,4968.41,29
