inventory_id,date,product_id,warehouse_id,opening_stock,produced,shipped,closing_stock
inv_20260301_01,2026-03-01,PROD_GLASS_A1,WAREHOUSE_US_01,10125,15934,2250,23809
inv_20260301_02,2026-03-01,PROD_GLASS_A1,WAREHOUSE_EU_01,12308,15934,2061,26181
inv_20260301_03,2026-03-01,PROD_GLASS_A1,WAREHOUSE_APAC_01,6662,15934,0,22596
inv_20260301_04,2026-03-01,PROD_GLASS_A1,WAREHOUSE_US_02,9045,15934,0,24979
inv_20260301_05,2026-03-01,PROD_GLASS_A1,WAREHOUSE_APAC_02,7364,15934,0,23298
inv_20260301_06,2026-03-01,PROD_GLASS_A1,WAREHOUSE_EU_02,10045,15934,0,25979
inv_20260301_07,2026-03-01,PROD_GLASS_B2,WAREHOUSE_US_01,8804,24395,708,32491
inv_20260301_08,2026-03-01,PROD_GLASS_B2,WAREHOUSE_EU_01,8084,24395,1922,30557
inv_20260301_09,2026-03-01,PROD_GLASS_B2,WAREHOUSE_APAC_01,12875,24395,4988,32282
inv_20260301_10,2026-03-01,PROD_GLASS_B2,WAREHOUSE_US_02,4691,24395,0,29086
inv_20260301_11,2026-03-01,PROD_GLASS_B2,WAREHOUSE_APAC_02,7077,24395,0,31472
inv_20260301_12,2026-03-01,PROD_GLASS_B2,WAREHOUSE_EU_02,5879,24395,0,30274
inv_20260301_13,2026-03-01,PROD_GLASS_C3,WAREHOUSE_US_01,10325,20090,1753,28662
inv_20260301_14,2026-03-01,PROD_GLASS_C3,WAREHOUSE_EU_01,12938,20090,0,33028
inv_20260301_15,2026-03-01,PROD_GLASS_C3,WAREHOUSE_APAC_01,8273,20090,0,28363
inv_20260301_16,2026-03-01,PROD_GLASS_C3,WAREHOUSE_US_02,5069,20090,0,25159
inv_20260301_17,2026-03-01,PROD_GLASS_C3,WAREHOUSE_APAC_02,6199,20090,0,26289
inv_20260301_18,2026-03-01,PROD_GLASS_C3,WAREHOUSE_EU_02,13276,20090,0,33366
