quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260222_001,2026-02-22,PROD_GLASS_B2,BATCH_2026_02_22_001,16,DIMENSION_OFF,0.33
qual_20260222_002,2026-02-22,PROD_GLASS_A1,BATCH_2026_02_22_002,40,DISCOLORATION,0.52
qual_20260222_003,2026-02-22,PROD_GLASS_C3,BATCH_2026_02_22_003,35,BUBBLE,0.61
qual_20260222_004,2026-02-22,PROD_GLASS_B2,BATCH_2026_02_22_004,16,CRACK,0.27
qual_20260222_005,2026-02-22,PROD_GLASS_B2,BATCH_2026_02_22_005,107,BUBBLE,1.11
qual_20260222_006,2026-02-22,PROD_GLASS_A1,BATCH_2026_02_22_006,169,BUBBLE,2.74
qual_20260222_007,2026-02-22,PROD_GLASS_A1,BATCH_2026_02_22_007,23,CRACK,0.38
qual_20260222_008,2026-02-22,PROD_GLASS_B2,BATCH_2026_02_22_008,256,BUBBLE,4.93
qual_20260222_009,2026-02-22,PROD_GLASS_B2,BATCH_2026_02_22_009,297,DIMENSION_OFF,4.35
qual_20260222_010,2026-02-22,PROD_GLASS_A1,BATCH_2026_02_22_010,33,SURFACE_SCRATCH,0.7
qual_20260222_011,2026-02-22,PROD_GLASS_C3,BATCH_2026_02_22_011,81,CRACK,0.92
qual_20260222_012,2026-02-22,PROD_GLASS_B2,BATCH_2026_02_22_012,456,DISCOLORATION,4.96
