quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260312_001,2026-03-12,PROD_GLASS_C3,BATCH_2026_03_12_001,25,SURFACE_SCRATCH,0.55
qual_20260312_002,2026-03-12,PROD_GLASS_C3,BATCH_2026_03_12_002,11,OTHER,0.17
qual_20260312_003,2026-03-12,PROD_GLASS_C3,BATCH_2026_03_12_003,33,SURFACE_SCRATCH,0.47
qual_20260312_004,2026-03-12,PROD_GLASS_C3,BATCH_2026_03_12_004,56,OTHER,0.57
qual_20260312_005,2026-03-12,PROD_GLASS_B2,BATCH_2026_03_12_005,67,CRACK,0.76
qual_20260312_006,2026-03-12,PROD_GLASS_C3,BATCH_2026_03_12_006,99,DISCOLORATION,1.15
qual_20260312_007,2026-03-12,PROD_GLASS_B2,BATCH_2026_03_12_007,123,DISCOLORATION,1.41
qual_20260312_008,2026-03-12,PROD_GLASS_B2,BATCH_2026_03_12_008,39,SURFACE_SCRATCH,0.65
qual_20260312_009,2026-03-12,PROD_GLASS_B2,BATCH_2026_03_12_009,31,DISCOLORATION,0.35
qual_20260312_010,2026-03-12,PROD_GLASS_A1,BATCH_2026_03_12_010,55,CRACK,1.22
qual_20260312_011,2026-03-12,PROD_GLASS_B2,BATCH_2026_03_12_011,10,DISCOLORATION,0.19
qual_20260312_012,2026-03-12,PROD_GLASS_B2,BATCH_2026_03_12_012,114,BUBBLE,1.29
