supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Components,2026-03-28,2026-03-28,0,91.5
SUP_GLASS_RAW_02,Supplier_02,Raw Materials,2026-03-28,2026-03-28,0,95.2
SUP_METAL_FRAME_01,Supplier_01,Logistics,2026-03-26,2026-03-25,1,96.6
SUP_METAL_FRAME_02,Supplier_02,Components,2026-03-26,2026-03-26,0,93.1
SUP_ADHESIVE_01,Supplier_01,Raw Materials,2026-03-26,2026-03-26,0,86.8
SUP_ADHESIVE_02,Supplier_02,Raw Materials,2026-03-25,2026-03-25,0,88.0
SUP_LOGISTICS_01,Supplier_01,Components,2026-03-30,2026-03-28,2,92.1
SUP_LOGISTICS_02,Supplier_02,Raw Materials,2026-03-27,2026-03-27,0,86.6
SUP_LOGISTICS_03,Supplier_03,Components,2026-03-26,2026-03-26,0,89.6
SUP_PACKAGING_01,Supplier_01,Logistics,2026-03-29,2026-03-29,0,91.9
SUP_PACKAGING_02,Supplier_02,Logistics,2026-03-25,2026-03-25,0,89.8
