supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Components,2026-04-02,2026-04-02,0,94.5
SUP_GLASS_RAW_02,Supplier_02,Packaging,2026-04-04,2026-04-04,0,94.8
SUP_METAL_FRAME_01,Supplier_01,Raw Materials,2026-04-02,2026-04-02,0,89.8
SUP_METAL_FRAME_02,Supplier_02,Logistics,2026-04-02,2026-04-02,0,93.5
SUP_ADHESIVE_01,Supplier_01,Packaging,2026-04-03,2026-04-03,0,91.4
SUP_ADHESIVE_02,Supplier_02,Packaging,2026-04-03,2026-04-03,0,89.1
SUP_LOGISTICS_01,Supplier_01,Components,2026-04-01,2026-04-01,0,93.8
SUP_LOGISTICS_02,Supplier_02,Packaging,2026-04-01,2026-04-01,0,90.7
SUP_LOGISTICS_03,Supplier_03,Packaging,2026-04-04,2026-04-04,0,89.1
SUP_PACKAGING_01,Supplier_01,Packaging,2026-04-03,2026-04-03,0,88.6
SUP_PACKAGING_02,Supplier_02,Packaging,2026-04-06,2026-04-04,2,88.2
