shipment_id,order_id,product_id,quantity,origin,destination,supplier_id,dispatch_date,expected_delivery_date,actual_delivery_date,delay_days,status
ship_20260227_001,PO_2026_02_001,PROD_GLASS_C3,2133,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_LOGISTICS_01,2026-02-24,2026-03-08,2026-03-08,0,DELIVERED
ship_20260227_002,PO_2026_02_002,PROD_GLASS_A1,919,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_LOGISTICS_02,2026-02-24,2026-03-09,2026-03-09,0,DELIVERED
ship_20260227_003,PO_2026_02_003,PROD_GLASS_C3,2263,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_ADHESIVE_01,2026-02-25,2026-03-15,2026-03-15,0,DELIVERED
ship_20260227_004,PO_2026_02_004,PROD_GLASS_C3,1393,WAREHOUSE_US_01,WAREHOUSE_EU_02,SUP_GLASS_RAW_02,2026-02-27,2026-03-07,,0,PENDING
ship_20260227_005,PO_2026_02_005,PROD_GLASS_B2,1845,WAREHOUSE_EU_01,WAREHOUSE_APAC_02,SUP_ADHESIVE_01,2026-02-18,2026-03-05,2026-03-05,0,DELIVERED
ship_20260227_006,PO_2026_02_006,PROD_GLASS_C3,1665,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_GLASS_RAW_01,2026-02-27,2026-03-16,,0,PENDING
ship_20260227_007,PO_2026_02_007,PROD_GLASS_A1,729,WAREHOUSE_US_01,WAREHOUSE_APAC_01,SUP_GLASS_RAW_02,2026-02-27,2026-03-13,,0,PENDING
ship_20260227_008,PO_2026_02_008,PROD_GLASS_B2,1024,WAREHOUSE_US_01,WAREHOUSE_AU_01,SUP_METAL_FRAME_02,2026-02-27,2026-03-22,,0,PENDING
ship_20260227_009,PO_2026_02_009,PROD_GLASS_B2,1185,WAREHOUSE_EU_01,WAREHOUSE_US_02,SUP_METAL_FRAME_02,2026-02-22,2026-03-04,2026-03-04,0,DELIVERED
ship_20260227_010,PO_2026_02_010,PROD_GLASS_C3,881,WAREHOUSE_APAC_01,WAREHOUSE_US_01,SUP_METAL_FRAME_02,2026-02-25,2026-03-06,2026-03-06,0,DELIVERED
