supplier_id,supplier_name,material_type,delivery_date,expected_date,delay_days,quality_rating
SUP_GLASS_RAW_01,Supplier_01,Raw Materials,2026-01-31,2026-01-31,0,93.9
SUP_GLASS_RAW_02,Supplier_02,Raw Materials,2026-02-03,2026-02-03,0,95.5
SUP_METAL_FRAME_01,Supplier_01,Components,2026-01-31,2026-01-31,0,88.8
SUP_METAL_FRAME_02,Supplier_02,Raw Materials,2026-02-04,2026-02-02,2,91.8
SUP_ADHESIVE_01,Supplier_01,Components,2026-02-03,2026-02-01,2,89.0
SUP_ADHESIVE_02,Supplier_02,Raw Materials,2026-02-03,2026-02-03,0,92.3
SUP_LOGISTICS_01,Supplier_01,Logistics,2026-02-02,2026-02-02,0,88.4
SUP_LOGISTICS_02,Supplier_02,Raw Materials,2026-02-01,2026-02-01,0,87.3
SUP_LOGISTICS_03,Supplier_03,Raw Materials,2026-02-04,2026-02-04,0,90.7
SUP_PACKAGING_01,Supplier_01,Packaging,2026-02-01,2026-02-01,0,94.0
SUP_PACKAGING_02,Supplier_02,Packaging,2026-02-04,2026-02-04,0,89.6
