quality_id,date,product_id,batch_id,defects_count,defect_type,defect_rate
qual_20260116_001,2026-01-16,PROD_GLASS_B2,BATCH_2026_01_16_001,196,DIMENSION_OFF,4.21
qual_20260116_002,2026-01-16,PROD_GLASS_B2,BATCH_2026_01_16_002,108,DIMENSION_OFF,1.24
qual_20260116_003,2026-01-16,PROD_GLASS_C3,BATCH_2026_01_16_003,189,BUBBLE,3.39
qual_20260116_004,2026-01-16,PROD_GLASS_A1,BATCH_2026_01_16_004,20,CRACK,0.48
qual_20260116_005,2026-01-16,PROD_GLASS_A1,BATCH_2026_01_16_005,122,DIMENSION_OFF,1.46
qual_20260116_006,2026-01-16,PROD_GLASS_C3,BATCH_2026_01_16_006,61,OTHER,0.96
qual_20260116_007,2026-01-16,PROD_GLASS_A1,BATCH_2026_01_16_007,40,CRACK,0.99
qual_20260116_008,2026-01-16,PROD_GLASS_C3,BATCH_2026_01_16_008,67,OTHER,1.24
qual_20260116_009,2026-01-16,PROD_GLASS_C3,BATCH_2026_01_16_009,59,OTHER,0.89
qual_20260116_010,2026-01-16,PROD_GLASS_B2,BATCH_2026_01_16_010,83,BUBBLE,1.25
qual_20260116_011,2026-01-16,PROD_GLASS_B2,BATCH_2026_01_16_011,47,DISCOLORATION,0.88
qual_20260116_012,2026-01-16,PROD_GLASS_A1,BATCH_2026_01_16_012,55,BUBBLE,1.18
